id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3785097,18522195,"Stroane, Butler's Bridge, Co. Cavan",495000.0,N/A,,5,5,Detached,2022-08-10,B3,114442114,130.24 kWh/m2/yr,54.062176,-7.420075,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-stroane-butlers-bridge-co-cavan/3785097
3926543,19194006,"Cavantymahon, Tunnyduff, Bailieborough, Co. Cavan",235000.0,235,235 m²,4,4,Detached,2022-08-10,C3,114877228,208.15 kWh/m2/yr,53.96258,-7.089984,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-cavantymahon-tunnyduff-bailieborough-co-cavan/3926543
3925694,19183840,"Aghaveans, Lough Gowna, Co. Cavan",60000.0,N/A,,2,1,Detached,2022-06-08,SI_666,,,53.885104,-7.51689,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-aghaveans-lough-gowna-co-cavan/3925694
3925248,19178878,"Mullaghduff, Ballyconnell, Co. Cavan",285000.0,176,176 m²,5,2,Detached,2022-08-10,C3,114877558,221.23 kWh/m2/yr,54.11003,-7.57492,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-mullaghduff-ballyconnell-co-cavan/3925248
3922119,19155035,"Old School House, Corcanadas, Milltown, Belturbet, Co. Cavan",180000.0,132,132 m²,4,3,Detached,2022-08-10,G,101771228,114.45 kWh/m2/yr,54.040179,-7.454089,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-old-school-house-corcanadas-milltown-belturbet-co-cavan/3922119
3917139,19107165,"Tullyagan, Mountnugent, Co. Cavan",400000.0,236,236 m²,4,5,Detached,2022-06-01,A3,,,53.810766,-7.229043,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-tullyagan-mountnugent-co-cavan/3917139
3915021,19088873,"Greaghcrottagh, Mountain Lodge, Cootehill, Co. Cavan",125000.0,72,72 m²,2,2,Detached,2022-08-10,C3,115017402,200.02 kWh/m2/yr,53.990742,-7.134571,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-greaghcrottagh-mountain-lodge-cootehill-co-cavan/3915021
3912913,19071050,"Saint Killians Park, Mullagh, Co. Cavan",150000.0,65,65 m²,3,1,Detached,2022-07-19,F,,,53.810395,-6.938094,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-saint-killians-park-mullagh-co-cavan/3912913
3911055,19060472,"Drumhawragh, Loughduff, Co. Cavan",340000.0,N/A,,4,2,Detached,2022-07-28,D1,103356192,227.33 kWh/m2/yr,53.894942,-7.466648,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-drumhawragh-loughduff-co-cavan/3911055
3910103,19049449,"Kildallan, Ballyconnell, Co. Cavan",85000.0,56,56 m²,3,1,Detached,2022-08-10,,,,54.0689647,-7.549726,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-kildallan-ballyconnell-co-cavan/3910103
3905982,19013139,"Banaho, Carrickaboy, Co. Cavan",390000.0,255,255 m²,4,3,Detached,2022-08-10,C2,,,53.946068,-7.276147,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-banaho-carrickaboy-co-cavan/3905982
3902565,18979844,"Lismacanigan Upper, Mountnugent, Co. Cavan",150000.0,65,65 m²,2,1,Detached,2022-07-19,F,,,53.829975,-7.231396,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-lismacanigan-upper-mountnugent-co-cavan/3902565
3896042,18912157,"The Grove, Ballyheelan, Co. Cavan",370000.0,215,215 m²,4,2,Detached,2022-08-10,B2,115000754,116.95 kWh/m2/yr,53.840331,-7.344955,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-the-grove-ballyheelan-co-cavan/3896042
3894435,18896770,"Artonagh, Tullyco, Cootehill, Co. Cavan",295000.0,128,128 m²,4,3,Detached,2022-08-10,C1,111295184,153.04 kWh/m2/yr,54.001032,-7.168392,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-artonagh-tullyco-cootehill-co-cavan/3894435
3822165,18837254,"Mullymagowan, Stradone, Co. Cavan",275000.0,148,148 m²,4,1,Detached,2022-08-10,E1,114838444,315.95 kWh/m2/yr,53.932528,-7.198067,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-mullymagowan-stradone-co-cavan/3822165
3822041,18834446,"Turin, Mountnugent, Co. Cavan",445000.0,214,214 m²,5,4,Detached,2022-08-10,B2,114857436,110.96 kWh/m2/yr,53.830989,-7.303497,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-turin-mountnugent-co-cavan/3822041
3820130,18816317,"Corlisbrattan, Arva, Co. Cavan",Price on Application,N/A,,3,1,Detached,2022-06-01,D1,,,53.93762,-7.586866,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-corlisbrattan-arva-co-cavan/3820130
3814257,18765758,"Lisclogher, Cootehill, Co. Cavan",324950.0,269,269 m²,4,4,Detached,2022-08-09,C1,105771612,151.44 kWh/m2/yr,54.072593894306294,-7.082182438622681,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-lisclogher-cootehill-co-cavan/3814257
3808552,18727157,"Carnans, Tierworker, Bailieborough, Co. Cavan",220000.0,170,170 m²,4,5,Detached,2022-07-24,B1,,,53.879959,-6.932312,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-carnans-tierworker-bailieborough-co-cavan/3808552
3808055,18723725,"Sli Na Coille, Belturbet, Co. Cavan",320000.0,N/A,,4,3,Detached,2022-08-09,A2,,,54.10008510333731,-7.457084281042654,New Homes,CAVAN,http://www.daft.ie/new-home-for-sale/detached-house-type-c-sli-na-coille-sli-na-coille-belturbet-co-cavan/3808055
3807851,18721388,"Carnans, Tierworker, Bailieborough, Co. Cavan",220000.0,170,170 m²,4,5,Detached,2022-08-02,B1,,,53.879959,-6.932312,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-carnans-tierworker-bailieborough-co-cavan/3807851
3806840,18710708,"Knockatemple, Virginia, Co. Cavan",345000.0,125,125 m²,4,2,Detached,2022-08-05,C3,113760359,214.73 kWh/m2/yr,53.805443,-7.092924,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-knockatemple-virginia-co-cavan/3806840
3793157,18588894,"Kilcorby House, Kilcorby, Belturbet, Co. Cavan",Price on Application,210,210 m²,4,1,Detached,2022-08-10,C1,114604887,163.66 kWh/m2/yr,54.124156,-7.509603,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-kilcorby-house-kilcorby-belturbet-co-cavan/3793157
3789890,18567938,"Corlisbrattan, Arva, Co. Cavan",75000.0,N/A,,2,,Detached,2022-08-10,,,,53.954181193673,-7.5805110438721,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-corlisbrattan-arva-co-cavan/3789890
3787210,18541480,"Cloghbally Upper, Mullagh, Co. Cavan",135000.0,N/A,,3,1,Detached,2022-08-10,SI_666,,,53.803614,-6.987804,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-cloghbally-upper-mullagh-co-cavan/3787210
3780830,18484112,"Bernyhill, Cavan, Co. Cavan",260000.0,180,180 m²,3,2,Detached,2022-08-10,C2,105719561,181.44 kWh/m2/yr,53.889036,-7.541406,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-bernyhill-cavan-co-cavan/3780830
2553411,12676594,"Monaghan's Cottage, Roo, Blacklion, Co. Cavan",198000.0,N/A,,3,2,Detached,2022-08-08,B3,113195846,134.43 kWh/m2/yr,54.269131,-7.976223,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-monaghans-cottage-roo-blacklion-co-cavan/2553411
3750585,18238161,"11 Maple Drive, Drumgola Wood, Cavan, Co. Cavan",225000.0,N/A,,4,2,Detached,2022-08-10,,,,54.018331,-7.353402,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-11-maple-drive-drumgola-wood-cavan-co-cavan/3750585
3742621,18160751,"Cabra, Kingscourt, Co. Cavan",650000.0,536,536 m²,10,10,Detached,2022-06-22,C1,,,53.91819893301934,-6.7853313310174315,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-cabra-kingscourt-co-cavan/3742621
3619102,16965204,"Kilmore Lower, Cavan, Co. Cavan",900000.0,N/A,,16,4,Detached,2022-08-10,SI_666,,,53.982888,-7.413671,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-kilmore-lower-cavan-co-cavan/3619102
3728059,18019567,"Lannaneriagh, Corlough, Co. Cavan",Price on Application,233,233 m²,5,3,Detached,2022-08-10,,,,54.1217951,-7.8140287,Buy,CAVAN,http://www.daft.ie/for-sale/detached-house-lannaneriagh-corlough-co-cavan/3728059
