id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3949803,19419779,"5 Inchicore Terrace South, Inchicore, Dublin 8",425000.0,86,86 m²,2,1,Terrace,2022-08-10,F,115188963,,53.33991,-6.323556,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-5-inchicore-terrace-south-inchicore-dublin-8/3949803
3947922,19402996,"10 Park Lane, Chapelizod, Dublin 20",835000.0,N/A,,5,4,Terrace,2022-07-28,B3,,,53.3494898,-6.3431851,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-10-park-lane-chapelizod-dublin-20/3947922
3945278,19375197,"33 Ballyneety Road, Ballyfermot, Dublin 10",245000.0,72,72 m²,2,1,End of Terrace,2022-07-17,E2,114386436,342.23 kWh/m2/yr,53.3405996,-6.3343312,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-33-ballyneety-road-ballyfermot-dublin-10/3945278
3944116,19365028,"130 Walkinstown Road, Walkinstown, Dublin 12",449950.0,N/A,,3,2,End of Terrace,2022-07-21,C3,115360497,216.95 kWh/m2/yr,53.319563,-6.332357,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-130-walkinstown-road-walkinstown-dublin-12/3944116
3944042,19364430,"127 Errigal Road, Drimnagh, Drimnagh, Dublin 12",399950.0,N/A,,3,3,End of Terrace,2022-07-11,D1,115226649,239.31 kWh/m2/yr,53.327116,-6.323243,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-127-errigal-road-drimnagh-drimnagh-dublin-12/3944042
3942687,19350436,"41 Landen Road, Ballyfermot, Ballyfermot, Dublin 10",285000.0,77,77 m²,2,2,Terrace,2022-08-09,E1,,,53.340906,-6.33012,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-41-landen-road-ballyfermot-ballyfermot-dublin-10/3942687
3940771,19332166,"214D Kilworth Road, Drimnagh, Drimnagh, Dublin 12",445000.0,91,91 m²,3,2,Semi-D,2022-08-08,D2,104581400,283.26 kWh/m2/yr,53.330628,-6.328221,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-214d-kilworth-road-drimnagh-drimnagh-dublin-12/3940771
3940626,19330428,"3 Landsdowne Valley Crescent, Drimnagh, Dublin 12",380000.0,83,83 m²,3,1,Terrace,2022-08-10,C3,,,53.334201,-6.32507,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-3-landsdowne-valley-crescent-drimnagh-dublin-12/3940626
3939433,19319481,"53 Thomas Moore Road, Walkinstown, Dublin 12",450000.0,94,94 m²,3,2,Terrace,2022-08-10,C1,,,53.319328,-6.333743,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-53-thomas-moore-road-walkinstown-dublin-12/3939433
3938873,19312234,"16 Heuston Square, Inchicore Road, Kilmainham, Dublin 8",525000.0,121,121 m²,4,3,End of Terrace,2022-08-10,C1,110271129,163.74 kWh/m2/yr,53.342559,-6.312794,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-16-heuston-square-inchicore-road-kilmainham-dublin-8/3938873
3934838,19274458,"8 Camac Court, Kilmainham, Dublin 8",325000.0,56,56 m²,2,1,Terrace,2022-08-10,C3,100902592,211.82 kWh/m2/yr,53.341845,-6.315107,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-8-camac-court-kilmainham-dublin-8/3934838
3932693,19251025,"80 Curlew Road, Drimnagh, Drimnagh, Dublin 12",299950.0,N/A,,2,1,End of Terrace,2022-06-14,SI_666,,,53.328313,-6.318698,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-80-curlew-road-drimnagh-drimnagh-dublin-12/3932693
3932680,19251018,"29 Galtymore Park, Drimnagh, Drimnagh, Dublin 12",299950.0,79,79 m²,3,1,Terrace,2022-07-04,D1,,,53.331368,-6.321403,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-29-galtymore-park-drimnagh-drimnagh-dublin-12/3932680
3929701,19226549,"64 Curlew Road, Drimnagh, Drimnagh, Dublin 12",300000.0,61,61 m²,2,1,Terrace,2022-08-10,E1,,,53.328206,-6.31922,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-64-curlew-road-drimnagh-drimnagh-dublin-12/3929701
3928130,19209504,"83 Carrow Road, Drimnagh, Drimnagh, Dublin 12",290000.0,70,70 m²,3,1,Semi-D,2022-07-27,E2,,,53.333071,-6.31985,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-83-carrow-road-drimnagh-drimnagh-dublin-12/3928130
3927545,19203122,"306 Cooley Road, Drimnagh, Drimnagh, Dublin 12",349950.0,N/A,,2,1,End of Terrace,2022-06-09,SI_666,,,53.332604,-6.326497,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-306-cooley-road-drimnagh-drimnagh-dublin-12/3927545
3924812,19174953,"39 Brandon Road, Drimnagh, Drimnagh, Dublin 12",330000.0,72,72 m²,3,1,Terrace,2022-08-10,F,,,53.32577,-6.323883,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/terraced-house-39-brandon-road-drimnagh-drimnagh-dublin-12/3924812
3920273,19138730,"216 Cooley Road, Drimnagh, Dublin 12",335000.0,114,114 m²,4,1,Semi-D,2022-08-10,E1,115025520,337.27 kWh/m2/yr,53.332197,-6.326595,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-216-cooley-road-drimnagh-dublin-12/3920273
3919061,19127548,"Bar Na Coille, 36E Chapelizod Hill Road, Chapelizod, Dublin 20",575000.0,173,173 m²,4,2,Detached,2022-08-10,G,,,53.345895,-6.347579,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/detached-house-bar-na-coille-36e-chapelizod-hill-road-chapelizod-dublin-20/3919061
3918800,19124618,"28 Curlew Road, Drimnagh, Drimnagh, Dublin 12",399950.0,N/A,,3,2,End of Terrace,2022-06-02,SI_666,,,53.328873,-6.320433,Buy,ROYAL_COLLEGE_OF_SURGEONS_IN_IRELAND_YORK_ST_CAMPUS_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-28-curlew-road-drimnagh-drimnagh-dublin-12/3918800
