id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3977255,19605272,"58 Bow Bridge Place, Kilmainham, Dublin 8",275000.0,6109,6109 m²,2,1,Apartment,2022-08-10,D2,113001796,,53.343377,-6.296654,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-58-bow-bridge-place-kilmainham-dublin-8/3977255
3975311,19595530,"Apt. 16 8 Grand Canal Buildings Percy Place Dublin 4, Ballsbridge, Dublin 4",595000.0,83,83 m²,2,2,Apartment,2022-08-10,B2,101364636,113.04 kWh/m2/yr,53.335726,-6.242606,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apt-16-8-grand-canal-buildings-percy-place-dublin-4-ballsbridge-dublin-4/3975311
3975137,19594076,"17/31 James Walk, Dublin 8",350000.0,74,74 m²,2,2,Apartment,2022-08-10,B2,100555648,105.68 kWh/m2/yr,53.3381465,-6.2931881,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-17-31-james-walk-dublin-8/3975137
3957084,19444695,"Apartment 7, Crostick Court, Dublin 8",345000.0,60,60 m²,2,2,Apartment,2022-07-11,D2,,,53.340801,-6.278219,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-7-crostick-court-dublin-8/3957084
3973976,19589748,"Apartment 9, Sycamore Court, Cabra, Dublin 7",220000.0,46,46 m²,2,1,Apartment,2022-08-10,D2,101826360,287.37 kWh/m2/yr,53.36134,-6.296804,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-9-sycamore-court-cabra-dublin-7/3973976
3973674,19585984,"Apartment 74, The Stockyard, The Steelworks, Dublin 1",495000.0,105,105 m²,3,2,Apartment,2022-08-10,B3,103104154,26.3 kWh/m2/yr,53.35275,-6.25081,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-74-the-stockyard-the-steelworks-dublin-1/3973674
3972824,19580586,"Apartment 30, Harcourt Lodge, Inchicore, Dublin 8",250000.0,40,40 m²,1,1,Apartment,2022-08-10,D2,,,53.336446,-6.31234,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-30-harcourt-lodge-inchicore-dublin-8/3972824
3899588,18950761,"Apartment 167, Block D, Bellevue, Islandbridge, Dublin 8",338000.0,N/A,,2,1,Apartment,2022-07-20,D1,,,53.34688,-6.311175,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-167-block-d-bellevue-islandbridge-dublin-8/3899588
3971458,19569080,"Aran House, Custom House Square, Dublin 1, IFSC, Dublin 1",280000.0,45,45 m²,1,1,Apartment,2022-07-23,A1,,,53.349617,-6.243003,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-aran-house-custom-house-square-dublin-1-ifsc-dublin-1/3971458
3986897,19690853,"Apartment 15, Montpelier Mews, Stoneybatter, Dublin 7",225000.0,40,40 m²,1,1,Apartment,2022-07-26,D2,106249394,,53.348667,-6.293548,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-15-montpelier-mews-stoneybatter-dublin-7/3986897
3994736,112878362,"26A Ratoath Estate, Cabra, Cabra, Dublin 7",240000.0,65,65 m²,2,1,Apartment,2022-08-04,E2,,,53.37186,-6.305502,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-26a-ratoath-estate-cabra-cabra-dublin-7/3994736
3994725,112878358,"Apartment 7, Swift House, Ardilaun Court, Christchurch, Dublin 8",240000.0,39,39 m²,1,1,Apartment,2022-08-10,D2,,,53.341425,-6.272605,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-7-swift-house-ardilaun-court-christchurch-dublin-8/3994725
3994317,112873931,"38 Park Crescent House, Blackhorse Avenue, Dublin 7",300000.0,76,76 m²,2,1,Apartment,2022-08-10,C3,115366031,218.81 kWh/m2/yr,53.3623557,-6.3115231,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-38-park-crescent-house-blackhorse-avenue-dublin-7/3994317
3994154,112871659,"69 Mellowes Quay, Usher's Quay, Dublin 8",270000.0,50,50 m²,1,1,Apartment,2022-08-10,C1,108472713,173.7 kWh/m2/yr,53.34544,-6.279811,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-69-mellowes-quay-ushers-quay-dublin-8/3994154
3991572,19741705,"Apartment 16, Grattan Hall, Dublin 2",495000.0,74,74 m²,2,1,Apartment,2022-08-10,C1,,,53.338815,-6.24251,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-16-grattan-hall-dublin-2/3991572
3992460,19754648,"7D Rainsford Avenue, Dublin 8",215000.0,N/A,,1,1,Apartment,2022-07-28,F,,,53.342598,-6.282423,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-7d-rainsford-avenue-dublin-8/3992460
3992235,19750928,"10 Botanic Square, Glasnevin, Dublin 9",250000.0,40,40 m²,1,1,Apartment,2022-08-10,F,106911886,442.14 kWh/m2/yr,53.369313,-6.263685,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-10-botanic-square-glasnevin-dublin-9/3992235
3415542,15297662,"Apartment 5, 7 Anglesea Street, Dublin 2",285000.0,46,46 m²,1,1,Apartment,2022-08-03,E2,,,53.344967,-6.261939,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-5-7-anglesea-street-dublin-2/3415542
3992089,19749311,"Apartment 123 The Old Chocolate Factory, Kilmainham Square, Inchicore Road, Kilmainham, Dublin 8",370000.0,65,65 m²,2,2,Apartment,2022-08-10,B3,,,53.34283,-6.31057,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-123-the-old-chocolate-factory-kilmainham-square-inchicore-road-kilmainham-dublin-8/3992089
3992105,19750773,"Apartment 4, Brookfield Court, Rialto, Dublin 8",239000.0,48,48 m²,2,1,Apartment,2022-08-10,D1,,,53.314483,-6.30129,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-4-brookfield-court-rialto-dublin-8/3992105
3991458,19739668,"272 The Asgard, Custom House Harbour, IFSC, Co. Dublin",495000.0,86,86 m²,2,2,Apartment,2022-08-10,D2,112806203,,53.350487,-6.247546,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-272-the-asgard-custom-house-harbour-ifsc-co-dublin/3991458
3991441,19739273,"Apartment 11, Baroma, Kimmage, Dublin 12",245000.0,37,37 m²,1,1,Apartment,2022-08-10,C3,,,53.314855,-6.29475,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-11-baroma-kimmage-dublin-12/3991441
3991352,19738922,"Apartment 1, 35-38 Mountjoy Square South, Dublin 1",225000.0,37,37 m²,1,1,Apartment,2022-08-08,F,100311257,429.17 kWh/m2/yr,53.355952,-6.255889,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-1-35-38-mountjoy-square-south-dublin-1/3991352
3990319,19729286,"APARTMENT 3, 43 Essex Street East, Temple Bar, Dublin 2",280000.0,53,53 m²,1,1,Apartment,2022-07-21,E2,112378799,360.35 kWh/m2/yr,53.344975,-6.266518,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-3-43-essex-street-east-temple-bar-dublin-2/3990319
3988794,19710124,"Apartment 120, Greeg Court, Dublin 1",425000.0,100,100 m²,3,3,Apartment,2022-08-09,D1,,,53.351117,-6.263792,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-120-greeg-court-dublin-1/3988794
3988690,19708674,"5 Brabazon House, 117 Cork Street, The Combe, Dublin 8",209800.0,46,46 m²,1,1,Apartment,2022-08-10,D2,,,53.338241,-6.282681,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-5-brabazon-house-117-cork-street-the-combe-dublin-8/3988690
3988266,19702275,"8 Clarendon Hall, Aungier Street, Dublin 2",240000.0,40,40 m²,1,1,Apartment,2022-08-10,E2,115204448,356.2 kWh/m2/yr,53.340519,-6.265637,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-8-clarendon-hall-aungier-street-dublin-2/3988266
3987919,19701693,"Apartment 31, The Weavers, Dublin 8",325000.0,64,64 m²,2,1,Apartment,2022-08-10,C3,107923666,44.36 kWh/m2/yr,53.3412,-6.280352,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-31-the-weavers-dublin-8/3987919
3987426,19695810,"37 Parkgate Place, Islandbridge, Dublin 8",250000.0,51,51 m²,1,1,Apartment,2022-08-10,D1,101522928,,53.347226,-6.295275,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-37-parkgate-place-islandbridge-dublin-8/3987426
3987050,19692854,"602 Cathedral Court, New Street South, Dublin 8",425000.0,74,74 m²,2,1,Apartment,2022-08-10,C1,115353302,171.16 kWh/m2/yr,53.337683,-6.273056,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-602-cathedral-court-new-street-south-dublin-8/3987050
3189915,14517309,"Apartment 1, Jasonia Centre, Dublin 2",385000.0,80,80 m²,2,1,Apartment,2022-07-19,D1,,,53.344301,-6.26647,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-1-jasonia-centre-dublin-2/3189915
3986889,19690263,"47 Pier 19, Dublin 8",250000.0,51,51 m²,2,1,Apartment,2022-08-10,D2,114743479,,53.345656,-6.281354,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-47-pier-19-dublin-8/3986889
3986724,19688716,"14 Symphony House, Adelaide Road, Dublin 2",375000.0,48,48 m²,1,1,Apartment,2022-08-10,E1,114861164,303.37 kWh/m2/yr,53.331968,-6.254943,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-14-symphony-house-adelaide-road-dublin-2/3986724
3986704,19688663,"27 Riverbank Hall, Glasnevin, Dublin 11",245000.0,46,46 m²,1,1,Apartment,2022-08-10,C1,115353005,157.26 kWh/m2/yr,53.376828,-6.276674,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-27-riverbank-hall-glasnevin-dublin-11/3986704
3986649,19688633,"6 Kenilworth Lodge, 346 Harold's Cross Road, Harold's Cross, Dublin 6",295000.0,41,41 m²,1,1,Apartment,2022-08-10,F,,,53.318039,-6.280136,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-6-kenilworth-lodge-346-harolds-cross-road-harolds-cross-dublin-6/3986649
3986460,19687854,"Apartment 14, Symphony House, Dublin 2",375000.0,48,48 m²,1,1,Apartment,2022-07-19,E1,114861164,,53.331968,-6.254943,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-14-symphony-house-dublin-2/3986460
3986427,19687834,"20 Brabazon Hall, Ardee Street, Dublin 8",315000.0,73,73 m²,2,2,Apartment,2022-08-10,B3,100568286,,53.338656,-6.280546,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-20-brabazon-hall-ardee-street-dublin-8/3986427
3985227,19677268,"Apartment 27, Saint Kevins, Bloomfield Avenue, Portobello, Dublin 8",295000.0,35,35 m²,1,1,Apartment,2022-08-10,SI_666,,,53.331971,-6.271539,Buy,NATIONAL_COLLEGE_OF_ART_AND_DESIGN_DUBLIN,http://www.daft.ie/for-sale/apartment-apartment-27-saint-kevins-bloomfield-avenue-portobello-dublin-8/3985227
