id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3978676,19614396,"30 Kilteragh Close, Dooradoyle, Co. Limerick",230000.0,92,92 m²,3,2,Terrace,2022-08-10,C2,104105143,195.61 kWh/m2/yr,52.637845,-8.642491,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/terraced-house-30-kilteragh-close-dooradoyle-co-limerick/3978676
3813158,18754842,"25 The Brambles, Huntsfield, Dooradoyle, Co. Limerick",280000.0,119,119 m²,4,3,Semi-D,2022-08-04,D1,,,52.632494,-8.637064,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-25-the-brambles-huntsfield-dooradoyle-co-limerick/3813158
3978654,19614347,"68 Sheelin Road, Caherdavin Park, Caherdavin, Co. Limerick",250000.0,N/A,,3,1,Semi-D,2022-07-15,F,,,52.673047,-8.661304,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-68-sheelin-road-caherdavin-park-caherdavin-co-limerick/3978654
3977359,19606977,"9 Saint Jude's Park, Saint Patrick's Road, Co. Limerick",275000.0,N/A,,3,2,Semi-D,2022-08-05,C2,103766176,199.42 kWh/m2/yr,52.657353,-8.602746,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-9-saint-judes-park-saint-patricks-road-co-limerick/3977359
3971205,19567945,"27 Oakfield, Raheen, Co. Limerick",325000.0,135,135 m²,4,3,Semi-D,2022-08-10,C3,110320561,200.78 kWh/m2/yr,52.633764,-8.668945,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-27-oakfield-raheen-co-limerick/3971205
3971495,19569131,"16 Abbey Vale, Corbally, Co. Limerick",210000.0,77,77 m²,3,1,Semi-D,2022-08-10,E2,115227225,347.51 kWh/m2/yr,52.670789,-8.610888,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-16-abbey-vale-corbally-co-limerick/3971495
3970581,19563479,"6 Knocklyon, Clonmacken, Co. Limerick",285000.0,N/A,,3,4,End of Terrace,2022-08-10,B3,,130.0 kWh/m2/yr,52.667005,-8.66724,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/end-of-terrace-house-6-knocklyon-clonmacken-co-limerick/3970581
3636275,17090412,"Woodland, Mill Road, Co. Limerick",1750000.0,250,250 m²,5,2,Detached,2022-07-08,SI_666,,,52.680207,-8.616461,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/detached-house-woodland-mill-road-co-limerick/3636275
3966046,19523435,"25 The Green, Kilteragh, Dooradoyle, Co. Limerick",275000.0,100,100 m²,3,2,Semi-D,2022-08-10,C3,115220410,169.1 kWh/m2/yr,52.637337,-8.637175,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-25-the-green-kilteragh-dooradoyle-co-limerick/3966046
3965546,19518706,"33 O'Callaghan Avenue, Kileely, Co. Limerick",150000.0,N/A,,3,2,End of Terrace,2022-07-22,F,,,52.673587,-8.637339,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/end-of-terrace-house-33-ocallaghan-avenue-kileely-co-limerick/3965546
3960154,19472780,"STORAN FLUID SYSTEMS, The Lodge, Saint Nessan's Road, Dooradoyle, Co. Limerick",375000.0,113,113 m²,1,1,Detached,2022-08-08,E2,800846669,120.27 kWh/m2/yr,52.638227,-8.653015,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/detached-house-storan-fluid-systems-the-lodge-saint-nessans-road-dooradoyle-co-limerick/3960154
3959886,19470506,"3 Mount Vincent Cottages, Rosbrien Road, Co. Limerick",190000.0,109,109 m²,4,2,Terrace,2022-08-04,C3,103698064,,52.651984,-8.633326,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/terraced-house-3-mount-vincent-cottages-rosbrien-road-co-limerick/3959886
3959469,19466716,"3 Mount Vincent Cottages, Rosbrien Road, Rossbrien, Co. Limerick",190000.0,109,109 m²,3,1,Semi-D,2022-08-10,C3,103698064,47.61 kWh/m2/yr,52.651984,-8.633326,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-3-mount-vincent-cottages-rosbrien-road-rossbrien-co-limerick/3959469
3770882,18386712,"20 Mulcair Road, Raheen, Co. Limerick",275000.0,110,110 m²,3,2,Semi-D,2022-08-10,C2,103531315,195.13 kWh/m2/yr,52.630084,-8.649708,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-20-mulcair-road-raheen-co-limerick/3770882
3956263,19435801,"Tobar Phadraig, Sli Na Manach, Mungret, Co. Limerick",Price on Application,100,100 m²,3,3,Terrace,2022-08-10,A2,115052557,47.96 kWh/m2/yr,52.636356,-8.67493,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/terraced-house-tobar-phadraig-sli-na-manach-mungret-co-limerick/3956263
3946581,19389597,"Saint Annes, New Street, Co. Limerick",300000.0,121,121 m²,3,1,Semi-D,2022-08-10,E2,115209975,,52.650508,-8.637586,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-saint-annes-new-street-co-limerick/3946581
3947786,19402887,"32 Greenhills Road, Garryowen, Co. Limerick",185000.0,N/A,,3,1,Semi-D,2022-08-10,,,,52.659878,-8.612191,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-32-greenhills-road-garryowen-co-limerick/3947786
3947159,19395670,"Maximus, 63 Merval Drive, Clareview, Co. Limerick",Price on Application,118,118 m²,4,2,Terrace,2022-08-09,C3,106415540,200.4 kWh/m2/yr,52.67277,-8.648783,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/terraced-house-maximus-63-merval-drive-clareview-co-limerick/3947159
3946208,19382866,"1 Silver Birch Grove, Dooradoyle Road, Dooradoyle, Limerick City, Co. Limerick",565000.0,261,261 m²,6,3,Detached,2022-08-10,C1,114832579,,52.637741,-8.64626,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/detached-house-1-silver-birch-grove-dooradoyle-road-dooradoyle-limerick-city-co-limerick/3946208
3945027,19373328,"31 Sullane Crescent, Raheen, Raheen, Co. Limerick",Price on Application,96,96 m²,3,1,Semi-D,2022-08-04,D2,115166449,,52.630739,-8.654481,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-31-sullane-crescent-raheen-raheen-co-limerick/3945027
3943378,19355557,"67 Rosnaree, Church Hill Meadows, Raheen, Limerick, Dooradoyle, Co. Limerick",375000.0,131,131 m²,4,3,Semi-D,2022-08-10,B2,104608864,124.03 kWh/m2/yr,52.625009,-8.647478,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-67-rosnaree-church-hill-meadows-raheen-limerick-dooradoyle-co-limerick/3943378
3942592,19348178,"38 Avondale Drive, Greystones, Ennis Road, Co. Limerick",390000.0,130,130 m²,3,2,Semi-D,2022-08-10,D1,,,52.670584,-8.649482,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-38-avondale-drive-greystones-ennis-road-co-limerick/3942592
3941610,19338929,"5 The Orchards, Ashbourne Avenue, South Circular Road, Co. Limerick",265000.0,N/A,,3,2,Terrace,2022-08-02,C3,,,52.654809,-8.64529,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/terraced-house-5-the-orchards-ashbourne-avenue-south-circular-road-co-limerick/3941610
3940585,19330404,"Sunbury, Ashbourne Avenue, South Circular Road, Co. Limerick",Price on Application,557,557 m²,5,5,Detached,2022-07-14,C1,114771272,,52.65167,-8.643491,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/detached-house-sunbury-ashbourne-avenue-south-circular-road-co-limerick/3940585
3940574,19330397,"15 The Orchards, Ashbourne Avenue, South Circular Road, Co. Limerick",320000.0,N/A,,5,2,Semi-D,2022-08-09,D1,115224057,,52.65497,-8.646429,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-15-the-orchards-ashbourne-avenue-south-circular-road-co-limerick/3940574
3937831,19304234,"5 Laurel Court, Caherdavin Lawn, Caherdavin, Co. Limerick",235000.0,116,116 m²,3,1,Semi-D,2022-08-01,E1,,,52.670554,-8.665032,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-5-laurel-court-caherdavin-lawn-caherdavin-co-limerick/3937831
3936173,19285824,"48 Kilteragh, Dooradoyle, Dooradoyle, Co. Limerick",310000.0,115,115 m²,4,3,Semi-D,2022-08-10,C1,101319259,,52.638183,-8.640033,Buy,MARY_IMMACULATE_COLLEGE_LIMERICK,http://www.daft.ie/for-sale/semi-detached-house-48-kilteragh-dooradoyle-dooradoyle-co-limerick/3936173
