id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3928876,19217608,"5 Sion Row, Ferrybank, Co. Waterford",75000.0,86,86 m²,2,2,Terrace,2022-08-10,SI_666,,,52.2652565,-7.1105419,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_CORK_RD_CAMPUS_WATERFORD,http://www.daft.ie/for-sale/terraced-house-5-sion-row-ferrybank-co-waterford/3928876
3918974,19126619,"2 Bath Street, Co. Waterford",185000.0,120,120 m²,5,2,Terrace,2022-08-10,E1,100538404,336.92 kWh/m2/yr,52.253837,-7.113677,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_CORK_RD_CAMPUS_WATERFORD,http://www.daft.ie/for-sale/terraced-house-2-bath-street-co-waterford/3918974
3912586,19070270,"34 Shortcourse, Co. Waterford",150000.0,72,72 m²,2,1,Townhouse,2022-08-09,G,114889421,475.22 kWh/m2/yr,52.257737,-7.116357,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_CORK_RD_CAMPUS_WATERFORD,http://www.daft.ie/for-sale/townhouse-34-shortcourse-co-waterford/3912586
3904232,18995736,"13 Adelphi Quay, Co. Waterford",280000.0,127,127 m²,4,2,Terrace,2022-08-10,C2,115001380,181.41 kWh/m2/yr,52.259271,-7.102482,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_CORK_RD_CAMPUS_WATERFORD,http://www.daft.ie/for-sale/terraced-house-13-adelphi-quay-co-waterford/3904232
3904336,18997644,"5 Griffith Place, Co. Waterford",179000.0,84,84 m²,3,1,Terrace,2022-08-10,D2,114817026,262.85 kWh/m2/yr,52.257108,-7.123469,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_CORK_RD_CAMPUS_WATERFORD,http://www.daft.ie/for-sale/terraced-house-5-griffith-place-co-waterford/3904336
3900697,18962300,"26 Andrew Street, Ballybricken, Co. Waterford",75000.0,35,35 m²,1,1,Terrace,2022-08-10,G,,,52.259326,-7.11863,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_CORK_RD_CAMPUS_WATERFORD,http://www.daft.ie/for-sale/terraced-house-26-andrew-street-ballybricken-co-waterford/3900697
3896414,18915242,"11 Green Street Court, Co. Waterford",165000.0,N/A,,2,1,Semi-D,2022-05-21,D1,,,52.25742972596339,-7.117357092612991,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_CORK_RD_CAMPUS_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-11-green-street-court-co-waterford/3896414
3894010,18894315,"3 Summer Hill, Co. Waterford",225000.0,137,137 m²,4,1,Terrace,2022-08-03,D2,114861693,290.53 kWh/m2/yr,52.263176,-7.120809,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_CORK_RD_CAMPUS_WATERFORD,http://www.daft.ie/for-sale/terraced-house-3-summer-hill-co-waterford/3894010
3804042,18681861,"20 Henry Street, Co. Waterford",155000.0,N/A,,3,1,Terrace,2022-08-10,F,114832314,432.38 kWh/m2/yr,52.255523,-7.11417,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_CORK_RD_CAMPUS_WATERFORD,http://www.daft.ie/for-sale/terraced-house-20-henry-street-co-waterford/3804042
3789356,18562215,"10 Beech Grove, Greenfields, Waterford",210000.0,94,94 m²,3,3,Terrace,2022-08-08,C3,,,52.233991,-7.117133,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_CORK_RD_CAMPUS_WATERFORD,http://www.daft.ie/for-sale/terraced-house-10-beech-grove-greenfields-waterford/3789356
3751385,18246637,"3 Saint John's Villas, Co. Waterford",260000.0,123,123 m²,3,2,Semi-D,2022-07-12,E1,114703556,312.4 kWh/m2/yr,52.244912,-7.108809,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_CORK_RD_CAMPUS_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-3-saint-johns-villas-co-waterford/3751385
3749771,18233322,"9 Roanmore Park, Co. Waterford",185000.0,92,92 m²,3,1,Terrace,2022-08-09,F,,,52.251141,-7.126271,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_CORK_RD_CAMPUS_WATERFORD,http://www.daft.ie/for-sale/terraced-house-9-roanmore-park-co-waterford/3749771
3692731,17734799,"9 Iveragh Close, Lismore Lawn, Waterford",270000.0,N/A,,4,4,Terrace,2022-02-08,D1,,,52.252655,-7.139441,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_CORK_RD_CAMPUS_WATERFORD,http://www.daft.ie/for-sale/terraced-house-9-iveragh-close-lismore-lawn-waterford/3692731
3644662,17205722,"9 Ballybricken, Co. Waterford",160000.0,N/A,,2,1,Terrace,2022-02-23,E2,,,52.2603363,-7.1170542,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_CORK_RD_CAMPUS_WATERFORD,http://www.daft.ie/for-sale/terraced-house-9-ballybricken-co-waterford/3644662
2621708,13103965,"22 Parnell Street, Waterford, Co. Waterford",250000.0,136,136 m²,6,,Semi-D,2022-08-10,,,,52.258234,-7.109889,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_CORK_RD_CAMPUS_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-22-parnell-street-waterford-co-waterford/2621708
