id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3948922,19410274,"29 Tara Lawn, Glasheen, Co. Cork",325000.0,114,114 m²,3,2,Semi-D,2022-06-27,F,115177149,432.05 kWh/m2/yr,51.885738,-8.496316,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/semi-detached-house-29-tara-lawn-glasheen-co-cork/3948922
3945167,19373488,"26 Gould Street, Co. Cork",215000.0,58,58 m²,4,2,End of Terrace,2022-06-23,G,107281081,634.7 kWh/m2/yr,51.890453,-8.483522,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-26-gould-street-co-cork/3945167
3944615,19371320,"Wyldwood, St Francis Avenue, Co. Cork",895000.0,232,232 m²,4,3,Detached,2022-08-03,D2,115155996,277.67 kWh/m2/yr,51.8892179,-8.499836,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/detached-house-wyldwood-st-francis-avenue-co-cork/3944615
3940981,19333277,"4 Avondale, Model Farm Road, Model Farm Road, Co. Cork",785000.0,165,165 m²,5,2,Detached,2022-06-27,D1,115187213,,51.887298,-8.512458,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/detached-house-4-avondale-model-farm-road-model-farm-road-co-cork/3940981
3936833,19295369,"Clonallon House, Model Farm Road, Model Farm Road, Co. Cork",950000.0,214,214 m²,4,3,Detached,2022-08-10,D1,,,51.888153,-8.519278,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/detached-house-clonallon-house-model-farm-road-model-farm-road-co-cork/3936833
3935110,19276629,"Inagh, 12 The Grove, Shanakiel, Co. Cork",450000.0,131,131 m²,4,2,Detached,2022-06-21,F,115054231,428.06 kWh/m2/yr,51.898419,-8.502843,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/detached-house-inagh-12-the-grove-shanakiel-co-cork/3935110
3934400,19270519,"4 Maria Villas, 98 Street, Co. Cork",280000.0,89,89 m²,5,3,Terrace,2022-06-21,D2,103281267,289.82 kWh/m2/yr,51.893373,-8.482946,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/terraced-house-4-maria-villas-98-street-co-cork/3934400
3927812,19205708,"33 Wycherley Place, College Road, Co. Cork",255000.0,54,54 m²,3,1,Terrace,2022-07-12,E2,103151569,,51.891336,-8.488099,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/terraced-house-33-wycherley-place-college-road-co-cork/3927812
3813143,18754833,"1 Innisfail, Magazine Road, Co. Cork",310000.0,105,105 m²,5,3,Semi-D,2022-08-05,E1,110618659,327.67 kWh/m2/yr,51.889921,-8.493606,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/semi-detached-house-1-innisfail-magazine-road-co-cork/3813143
3928647,19215209,"43 McCurtains Villas, College Road, Co. Cork",295000.0,79,79 m²,3,2,End of Terrace,2022-08-02,G,114825532,,51.89178,-8.488434,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-43-mccurtains-villas-college-road-co-cork/3928647
3927387,19201970,"Monea, 18 Glendale Grove, Glasheen, Co. Cork",395000.0,153,153 m²,4,2,Semi-D,2022-06-22,D2,,,51.884558,-8.49645,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/semi-detached-house-monea-18-glendale-grove-glasheen-co-cork/3927387
3924364,19171198,"Saint Brendans, School Avenue, Glasheen, Co. Cork",360000.0,N/A,,5,2,Detached,2022-08-05,SI_666,,,51.886973,-8.49985,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/detached-house-saint-brendans-school-avenue-glasheen-co-cork/3924364
3921485,19149211,"1A McCurtains Villas, College Road, Co. Cork",265000.0,61,61 m²,2,1,Semi-D,2022-06-13,E1,103366118,,51.892957,-8.485694,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/semi-detached-house-1a-mccurtains-villas-college-road-co-cork/3921485
3687727,17686956,"23 Cathedral Road, Co. Cork",195000.0,N/A,,3,1,End of Terrace,2022-06-14,G,114617574,,51.903999,-8.487319,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-23-cathedral-road-co-cork/3687727
3915730,19096686,"8 Maymount, Boyce's Street, Co. Cork",219950.0,N/A,,3,2,End of Terrace,2022-08-10,D1,114844673,,51.901997,-8.486952,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-8-maymount-boyces-street-co-cork/3915730
3909031,19038201,"Laurels, 53 Sunday's Well Road, Sunday's Well, Co. Cork",500000.0,150,150 m²,3,2,Detached,2022-05-27,E1,,,51.897754,-8.498035,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/detached-house-laurels-53-sundays-well-road-sundays-well-co-cork/3909031
3911090,19060491,"22 Mile Avenue, Ard Sionnach, Shanakiel, Co. Cork",225000.0,89,89 m²,3,2,Terrace,2022-05-27,C1,114887409,158.27 kWh/m2/yr,51.899831,-8.51006,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/terraced-house-22-mile-avenue-ard-sionnach-shanakiel-co-cork/3911090
3910667,19056498,"57 Baker's Road, Gurranebraher, Gurranabraher, Co. Cork",248000.0,77,77 m²,3,1,End of Terrace,2022-08-03,D1,109869834,,51.904715,-8.495963,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-57-bakers-road-gurranebraher-gurranabraher-co-cork/3910667
3908162,19029171,"15 North Mall, Co. Cork",425000.0,307,307 m²,4,1,Terrace,2022-05-25,SI_666,,,51.901092,-8.481755,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/terraced-house-15-north-mall-co-cork/3908162
3903715,18989553,"1A McCurtains Villas, College Road, Co. Cork",265000.0,61,61 m²,2,1,Semi-D,2022-06-01,E1,103366118,332.24 kWh/m2/yr,51.892957,-8.485694,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/semi-detached-house-1a-mccurtains-villas-college-road-co-cork/3903715
3901397,18968886,"22 Bandon Road, Co. Cork",250000.0,65,65 m²,3,2,Terrace,2022-05-20,D1,101153807,252.17 kWh/m2/yr,51.892267,-8.482881,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/terraced-house-22-bandon-road-co-cork/3901397
3811638,18742272,"4 City View Terrace, Winters Hill, Sunday's Well, Co. Cork",165000.0,N/A,,2,1,Terrace,2022-05-25,C1,109817015,167.48 kWh/m2/yr,51.901469,-8.484644,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/terraced-house-4-city-view-terrace-winters-hill-sundays-well-co-cork/3811638
3806166,18703194,"17 Wilton Lawn, Wilton, Co. Cork",385000.0,N/A,,4,2,Semi-D,2022-08-08,E1,114735574,,51.883188,-8.503002,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/semi-detached-house-17-wilton-lawn-wilton-co-cork/3806166
3800712,18649427,"21 Bandon Road, Co. Cork",250000.0,73,73 m²,3,1,Terrace,2022-05-12,C1,101153823,158.54 kWh/m2/yr,51.892282,-8.482823,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/terraced-house-21-bandon-road-co-cork/3800712
3796563,18615688,"23 Greenmount Avenue, Co. Cork",190000.0,66,66 m²,3,1,Terrace,2022-05-18,E1,114821572,,51.891639,-8.482624,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/terraced-house-23-greenmount-avenue-co-cork/3796563
3795055,18602604,"1A The Village, Glasheen, Co. Cork",270000.0,82,82 m²,3,2,End of Terrace,2022-08-10,B2,,,51.885609,-8.498737,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-1a-the-village-glasheen-co-cork/3795055
3793628,18594216,"Pinewood, Shanakiel, Shanakiel, Co. Cork",575000.0,151,151 m²,4,2,Detached,2022-08-02,G,114647068,,51.897714,-8.505108,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/detached-house-pinewood-shanakiel-shanakiel-co-cork/3793628
3785356,18525225,"19 Saint Finbarr's Park, Glasheen Road, The Lough, Co. Cork",495000.0,136,136 m²,3,3,Semi-D,2022-07-12,B3,107726721,,51.88748,-8.488924,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/semi-detached-house-19-saint-finbarrs-park-glasheen-road-the-lough-co-cork/3785356
3759807,18306642,"1 Carriglee, Co. Cork",1650000.0,301,301 m²,12,12,Semi-D,2022-07-29,B1,800831513,396.44 kWh/m2/yr,51.895932,-8.488094,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/semi-detached-house-1-carriglee-co-cork/3759807
3747155,18210251,"17 Chapel Field, Cathedral Road, Gurranabraher, Co. Cork",295000.0,106,106 m²,3,3,Terrace,2022-08-10,B2,,,51.904852,-8.493127,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/terraced-house-17-chapel-field-cathedral-road-gurranabraher-co-cork/3747155
3744543,18181376,"125 Harbour View Road, Knocknaheeny, Knocknaheeny, Co. Cork",195000.0,86,86 m²,3,2,End of Terrace,2022-03-09,D2,111463709,,51.905359,-8.503182,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-125-harbour-view-road-knocknaheeny-knocknaheeny-co-cork/3744543
3723196,17986926,"Montrose, 18 Bishopstown Avenue West, Model Farm Road, Co. Cork",395000.0,132,132 m²,4,2,Detached,2022-08-09,E2,114661291,378.15 kWh/m2/yr,51.885416,-8.516063,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/detached-house-montrose-18-bishopstown-avenue-west-model-farm-road-co-cork/3723196
3721777,17966811,"Montrose, 18 Bishopstown Avenue West, Bishopstown, Co. Cork",395000.0,132,132 m²,4,2,Detached,2022-08-03,E2,114661291,378.15 kWh/m2/yr,51.885416,-8.516063,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/detached-house-montrose-18-bishopstown-avenue-west-bishopstown-co-cork/3721777
3621917,16995127,"57 Lough Road, Co. Cork",185000.0,N/A,,2,1,Terrace,2022-07-22,D2,114507932,,51.891717,-8.484473,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/terraced-house-57-lough-road-co-cork/3621917
3255732,15042930,"46 Mount Nebo Avenue, Gurranebraher, Co. Cork",180000.0,N/A,,3,1,Terrace,2022-08-05,F,113854541,,51.902616,-8.490241,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/terraced-house-46-mount-nebo-avenue-gurranebraher-co-cork/3255732
3948922,19410274,"29 Tara Lawn, Glasheen, Co. Cork",325000.0,114,114 m²,3,2,Semi-D,2022-06-27,F,115177149,432.05 kWh/m2/yr,51.885738,-8.496316,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/semi-detached-house-29-tara-lawn-glasheen-co-cork/3948922
3945167,19373488,"26 Gould Street, Co. Cork",215000.0,58,58 m²,4,2,End of Terrace,2022-06-23,G,107281081,634.7 kWh/m2/yr,51.890453,-8.483522,Buy,UNIVERSITY_COLLEGE_CORK_MARDYKE_ARENA_CORK,http://www.daft.ie/for-sale/end-of-terrace-house-26-gould-street-co-cork/3945167
