id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3793342,18590430,"47 Moorfield Drive, Clondalkin, Dublin 22",270000.0,N/A,,3,1,End of Terrace,2022-08-10,E1,,,53.334675,-6.399806,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-47-moorfield-drive-clondalkin-dublin-22/3793342
3788803,18556704,"9 Grange View Way, Clondalkin, Clondalkin, Dublin 22",275000.0,74,74 m²,3,2,End of Terrace,2022-07-18,C3,,,53.324957,-6.430765,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-9-grange-view-way-clondalkin-clondalkin-dublin-22/3788803
3789346,18562211,"Bedlesshill House, Clondalkin, Dublin 22",850000.0,220,220 m²,9,9,Detached,2022-08-08,SI_666,,,53.308957,-6.404587,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/detached-house-bedlesshill-house-clondalkin-dublin-22/3789346
3784839,18518796,"29 Riverside, Watery Lane, Clondalkin, Dublin 22",275000.0,62,62 m²,2,1,End of Terrace,2022-08-09,E1,,,53.324753,-6.391747,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-29-riverside-watery-lane-clondalkin-dublin-22/3784839
3781447,18488351,"12 Monastery Gate avenue, Clondalkin, Dublin 22",299000.0,91,91 m²,3,2,Terrace,2022-06-25,C3,,,53.3191672,-6.3758555,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/terraced-house-12-monastery-gate-avenue-clondalkin-dublin-22/3781447
3749816,18233346,"Residence on c. 2.84 Acres, Peamount Road, Newcastle, Co. Dublin",1250000.0,N/A,,5,2,Detached,2022-06-22,D2,114689318,,53.31186,-6.49085,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/detached-house-residence-on-c-2-84-acres-peamount-road-newcastle-co-dublin/3749816
3749795,18233336,"2 Hazelwood Close, Clondalkin, Clondalkin, Dublin 22",385000.0,84,84 m²,3,2,Semi-D,2022-08-10,D2,,,53.311469,-6.403957,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-2-hazelwood-close-clondalkin-clondalkin-dublin-22/3749795
3747576,18214577,"62 Monastery Rise, Clondalkin, Clondalkin, Dublin 22",349000.0,N/A,,3,1,Detached,2022-03-22,F,,,53.319555,-6.386859,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/detached-house-62-monastery-rise-clondalkin-clondalkin-dublin-22/3747576
3746707,18202902,"54 Newcastle Manor Square, Newcastle, Co. Dublin",300000.0,N/A,,3,3,Terrace,2022-08-02,C2,,,53.29752070343423,-6.490362641823964,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/terraced-house-54-newcastle-manor-square-newcastle-co-dublin/3746707
3746353,18199627,"15 Moyle Crescent, Clondalkin, Clondalkin, Dublin 22",399000.0,97,97 m²,3,1,Semi-D,2022-08-10,E2,114697113,366.13 kWh/m2/yr,53.319395,-6.393646,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-15-moyle-crescent-clondalkin-clondalkin-dublin-22/3746353
3739056,18135087,"8 Deansrath Green, Clondalkin, Dublin 22",269000.0,108,108 m²,3,1,Semi-D,2022-04-11,D1,,,53.327089,-6.421806,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-8-deansrath-green-clondalkin-dublin-22/3739056
3737942,18123973,"45 Monastery Rise, Clondalkin, Clondalkin, Dublin 22",405000.0,N/A,,4,1,Detached,2022-03-22,F,,,53.319515,-6.38742,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/detached-house-45-monastery-rise-clondalkin-clondalkin-dublin-22/3737942
3729850,18035544,"16 Riversdale Crescent, Clondalkin, Clondalkin, Dublin 22",380000.0,124,124 m²,3,2,Semi-D,2022-08-10,C1,109263491,65.32 kWh/m2/yr,53.3261,-6.38899,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-16-riversdale-crescent-clondalkin-clondalkin-dublin-22/3729850
3728959,18026208,"31 Michael Collins Park, Clondalkin, Clondalkin, Dublin 22",285000.0,N/A,,3,2,Terrace,2022-02-23,SI_666,,,53.327618,-6.398045,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/terraced-house-31-michael-collins-park-clondalkin-clondalkin-dublin-22/3728959
3702296,17816867,"27 Neilstown Park, Clondalkin, Clondalkin, Dublin 22",275000.0,N/A,,3,1,Semi-D,2022-03-24,D2,,,53.337479,-6.395749,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-27-neilstown-park-clondalkin-clondalkin-dublin-22/3702296
3678857,17619164,"5 Bettysford Terrace, Monastery Road, Clondalkin, Dublin 22",450000.0,128,128 m²,3,1,Semi-D,2022-08-10,E2,114524036,78.55 kWh/m2/yr,53.3211372,-6.3925455,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-5-bettysford-terrace-monastery-road-clondalkin-dublin-22/3678857
3675944,17587625,"11 Yellow Meadows Grove, Clondalkin, Dublin 22",300000.0,N/A,,3,2,Semi-D,2022-08-10,E1,,,53.327318,-6.400601,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-11-yellow-meadows-grove-clondalkin-dublin-22/3675944
3961802,19490364,"58 Pinewoods, Clondalkin, Clondalkin, Dublin 22",305000.0,N/A,,3,1,Detached,2022-07-01,D2,,,53.313115,-6.406459,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/detached-house-58-pinewoods-clondalkin-clondalkin-dublin-22/3961802
3961839,19490382,"11 Castlegrange Square, Clondalkin, Clondalkin, Dublin 22",275000.0,N/A,,3,3,Semi-D,2022-07-06,C1,,,53.321277,-6.422977,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-11-castlegrange-square-clondalkin-clondalkin-dublin-22/3961839
3961988,19492680,"9 Castlegrange Lawn, Clondalkin, Clondalkin, Dublin 22",279000.0,N/A,,3,2,Semi-D,2022-07-01,C2,,,53.322227,-6.424024,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-9-castlegrange-lawn-clondalkin-clondalkin-dublin-22/3961988
3960328,19475309,"6 Saint John's Road, Clondalkin, Clondalkin, Dublin 22",495000.0,136,136 m²,5,2,Semi-D,2022-08-10,E1,115230799,317.8 kWh/m2/yr,53.317331,-6.396737,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-6-saint-johns-road-clondalkin-clondalkin-dublin-22/3960328
3960222,19474675,"63 Woodford Court, Clondalkin, Clondalkin, Dublin 22",285000.0,77,77 m²,3,3,Terrace,2022-08-09,C3,101154268,215.04 kWh/m2/yr,53.32037,-6.377706,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/terraced-house-63-woodford-court-clondalkin-clondalkin-dublin-22/3960222
3958957,19459789,"48 Newcastle Boulevard, Newcastle, Co. Dublin",345000.0,125,125 m²,3,3,End of Terrace,2022-08-10,B3,105450647,137.45 kWh/m2/yr,53.2956517,-6.49479,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-48-newcastle-boulevard-newcastle-co-dublin/3958957
3958435,19454318,"47 Monksfield Heights, Clondalkin, Clondalkin, Dublin 22",329000.0,88,88 m²,3,1,Terrace,2022-08-09,D2,,,53.321157,-6.373632,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/terraced-house-47-monksfield-heights-clondalkin-clondalkin-dublin-22/3958435
3956486,19438541,"8 Yellow Meadows Park, Clondalkin, Clondalkin, Dublin 22",285000.0,90,90 m²,3,1,Semi-D,2022-08-09,D1,,,53.326889,-6.381766,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-8-yellow-meadows-park-clondalkin-clondalkin-dublin-22/3956486
3956055,19432826,"62 Saint Patrick's Road, Clondalkin, Clondalkin, Dublin 22",390000.0,115,115 m²,3,1,Semi-D,2022-07-18,E1,,,53.328852,-6.402411,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-62-saint-patricks-road-clondalkin-clondalkin-dublin-22/3956055
3946348,19385149,"5 Monastery Heath Square, Clondalkin, Dublin 22",350000.0,98,98 m²,3,2,Terrace,2022-08-10,C3,115397010,201.36 kWh/m2/yr,53.3213246,-6.382366,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/terraced-house-5-monastery-heath-square-clondalkin-dublin-22/3946348
3945947,19380263,"3 Upper Nangor Road, Deansrath, Clondalkin, Dublin 22",350000.0,N/A,,,,Semi-D,2022-08-10,G,105252019,802.01 kWh/m2/yr,53.318684,-6.426518,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-3-upper-nangor-road-deansrath-clondalkin-dublin-22/3945947
3945878,19380209,"42 Monastery Walk, Clondalkin, Clondalkin, Dublin 22",360000.0,97,97 m²,3,2,Semi-D,2022-07-18,E2,,,53.322502,-6.384818,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-42-monastery-walk-clondalkin-clondalkin-dublin-22/3945878
3942371,19344929,"San Michele, Main Street, Newcastle, Co. Dublin",375000.0,135,135 m²,4,3,Detached,2022-08-10,E1,,,53.299922,-6.497252,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/detached-house-san-michele-main-street-newcastle-co-dublin/3942371
3940715,19332117,"22 Ardsolus, Old Naas Road, Kingswood, Dublin 22",450000.0,112,112 m²,3,4,Semi-D,2022-08-08,A2,111463212,45.61 kWh/m2/yr,53.29497,-6.423281,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-22-ardsolus-old-naas-road-kingswood-dublin-22/3940715
3932057,19246137,"4 Castlelyon Green, Newcastle, Co. Dublin",305000.0,85,85 m²,3,3,End of Terrace,2022-08-10,B3,,,53.300544,-6.494392,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-4-castlelyon-green-newcastle-co-dublin/3932057
3931178,19236149,"4 Kilcarberry Close, Clondalkin, Clondalkin, Dublin 22",299000.0,N/A,,3,1,Terrace,2022-06-13,C1,,,53.318152,-6.416523,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/terraced-house-4-kilcarberry-close-clondalkin-clondalkin-dublin-22/3931178
3929474,19224301,"11 Cappaghmore, Clondalkin, Clondalkin, Dublin 22",379950.0,118,118 m²,4,1,Semi-D,2022-07-18,D2,,,53.329588,-6.39972,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-11-cappaghmore-clondalkin-clondalkin-dublin-22/3929474
3928841,19217590,"23 Monastery Gate Avenue, Clondalkin, Clondalkin, Dublin 22",309000.0,79,79 m²,3,3,Terrace,2022-06-13,D1,,,53.319531,-6.375483,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/terraced-house-23-monastery-gate-avenue-clondalkin-clondalkin-dublin-22/3928841
3924798,19174946,"7 Grange View Way, Clondalkin, Clondalkin, Dublin 22",270000.0,73,73 m²,3,2,Semi-D,2022-07-18,D1,,,53.324996,-6.430645,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-7-grange-view-way-clondalkin-clondalkin-dublin-22/3924798
3915964,19098377,"58 Pinewoods, Clondalkin, Clondalkin, Dublin 22",305000.0,N/A,,3,1,Terrace,2022-05-31,D2,,,53.313115,-6.406459,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/terraced-house-58-pinewoods-clondalkin-clondalkin-dublin-22/3915964
3821456,18830355,"4 Ballynakelly View, Newcastle, Co. Dublin",635000.0,300,300 m²,6,5,Detached,2022-05-31,B2,,,53.294871,-6.490477,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/detached-house-4-ballynakelly-view-newcastle-co-dublin/3821456
3915643,19096306,"65 Saint John's Wood, Clondalkin, Clondalkin, Dublin 22",415000.0,112,112 m²,3,2,Semi-D,2022-08-09,C1,,,53.318339,-6.4016,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-65-saint-johns-wood-clondalkin-clondalkin-dublin-22/3915643
3911176,19062202,"8 Ballymount Cottages, Turnpike Road, Ballymount, Dublin 12",549950.0,N/A,,3,1,Semi-D,2022-05-27,G,113177166,501.09 kWh/m2/yr,53.316206,-6.36187,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-8-ballymount-cottages-turnpike-road-ballymount-dublin-12/3911176
3910528,19054944,"16 Greenfort Crescent, Quarryvale, Clondalkin, Dublin 22",275000.0,N/A,,3,1,End of Terrace,2022-07-12,C1,,,53.348661,-6.396542,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-16-greenfort-crescent-quarryvale-clondalkin-dublin-22/3910528
3910522,19054941,"44 Lindisfarne Grove, Clondalkin, Clondalkin, Dublin 22",265000.0,82,82 m²,3,1,Terrace,2022-06-17,D2,105267884,267.0 kWh/m2/yr,53.326717,-6.416513,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/terraced-house-44-lindisfarne-grove-clondalkin-clondalkin-dublin-22/3910522
3910028,19047966,"92 Wood Avens, Clondalkin, Clondalkin, Dublin 22",265000.0,85,85 m²,3,1,Terrace,2022-08-09,E1,,,53.337426,-6.402433,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/terraced-house-92-wood-avens-clondalkin-clondalkin-dublin-22/3910028
3896053,18913178,"31 Riversdale Road, Clondalkin, Dublin 22",369000.0,108,108 m²,3,2,Semi-D,2022-08-10,D2,106556087,269.73 kWh/m2/yr,53.326523,-6.391244,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-31-riversdale-road-clondalkin-dublin-22/3896053
3818383,18802260,"21 Westbourne Close, Clondalkin, Clondalkin, Dublin 22",295000.0,85,85 m²,3,1,Semi-D,2022-08-10,C3,,,53.322126,-6.420752,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-21-westbourne-close-clondalkin-clondalkin-dublin-22/3818383
3817059,18791535,"10 Kilcarberry Close, Clondalkin, Clondalkin, Dublin 22",295000.0,N/A,,3,2,Semi-D,2022-06-08,C2,,,53.318048,-6.416335,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-10-kilcarberry-close-clondalkin-clondalkin-dublin-22/3817059
3815022,18771179,"157 Saint John's Crescent, Clondalkin, Clondalkin, Dublin 22",270000.0,60,60 m²,2,1,Terrace,2022-08-10,E2,,,53.315497,-6.406553,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/terraced-house-157-saint-johns-crescent-clondalkin-clondalkin-dublin-22/3815022
3814749,18769051,"42 Saint John's Wood, Clondalkin, Clondalkin, Dublin 22",365000.0,93,93 m²,3,1,Semi-D,2022-08-10,G,,,53.318712,-6.401377,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-42-saint-johns-wood-clondalkin-clondalkin-dublin-22/3814749
3805845,18698503,"63 New Road, Clondalkin, Clondalkin, Dublin 22",595000.0,92,92 m²,2,1,Semi-D,2022-08-09,G,,,53.317216,-6.391213,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-63-new-road-clondalkin-clondalkin-dublin-22/3805845
3804387,18684408,"18 Laurel Park, Clondalkin, Clondalkin, Dublin 22",410000.0,N/A,,3,2,Semi-D,2022-08-08,G,,,53.320486,-6.39288,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-18-laurel-park-clondalkin-clondalkin-dublin-22/3804387
3793342,18590430,"47 Moorfield Drive, Clondalkin, Dublin 22",270000.0,N/A,,3,1,End of Terrace,2022-08-10,E1,,,53.334675,-6.399806,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-47-moorfield-drive-clondalkin-dublin-22/3793342
3788803,18556704,"9 Grange View Way, Clondalkin, Clondalkin, Dublin 22",275000.0,74,74 m²,3,2,End of Terrace,2022-07-18,C3,,,53.324957,-6.430765,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-9-grange-view-way-clondalkin-clondalkin-dublin-22/3788803
3789346,18562211,"Bedlesshill House, Clondalkin, Dublin 22",850000.0,220,220 m²,9,9,Detached,2022-08-08,SI_666,,,53.308957,-6.404587,Buy,DUBLIN_22_DUBLIN,http://www.daft.ie/for-sale/detached-house-bedlesshill-house-clondalkin-dublin-22/3789346
