id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3970227,19558683,"218 Ballybeg Square, Ballybeg, Waterford",185000.0,185,185 m²,4,2,Terrace,2022-08-09,C2,103058020,179.52 kWh/m2/yr,52.243254,-7.137992,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/terraced-house-218-ballybeg-square-ballybeg-waterford/3970227
3963830,19505714,"143/143a Hennessy's Road, Waterford","AMV: €350,000",N/A,,13,13,End of Terrace,2022-07-19,E2,,315.47 kWh/m2/yr,52.250989,-7.123713,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/end-of-terrace-house-143-143a-hennessys-road-waterford/3963830
3963500,19502187,"Apartment 1, 12 Francis Street, Co. Waterford",275000.0,102,102 m²,5,4,Terrace,2022-08-10,E1,,,52.26115,-7.117772,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/terraced-house-apartment-1-12-francis-street-co-waterford/3963500
3961736,19490063,"36 Woodlawn Grove, Cork Road, Co. Waterford",185000.0,87,87 m²,3,1,End of Terrace,2022-07-12,D2,114693047,274.8 kWh/m2/yr,52.243414,-7.146194,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/end-of-terrace-house-36-woodlawn-grove-cork-road-co-waterford/3961736
3961629,19489301,"2 Brockton Avenue Hollybrook, Ferrybank, Co. Waterford",265000.0,110,110 m²,3,3,Semi-D,2022-08-10,C1,,,52.2715228,-7.1110344,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-2-brockton-avenue-hollybrook-ferrybank-co-waterford/3961629
3958269,19452621,"58 Hazelbourne, Cleaboy Road, Co. Waterford",235000.0,90,90 m²,3,2,Semi-D,2022-06-29,C3,106948805,217.99 kWh/m2/yr,52.256144,-7.142584,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-58-hazelbourne-cleaboy-road-co-waterford/3958269
3956445,19438514,"2 Wellington Street, Co. Waterford",135000.0,N/A,,2,1,Terrace,2022-06-28,G,,,52.260905,-7.116811,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/terraced-house-2-wellington-street-co-waterford/3956445
3823207,18846977,"12 Clashrea Place, Lower Yellow Road, Co. Waterford",125000.0,75,75 m²,3,1,Terrace,2022-08-10,E1,114862675,321.89 kWh/m2/yr,52.259802,-7.119425,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/terraced-house-12-clashrea-place-lower-yellow-road-co-waterford/3823207
3955435,19426455,"21 Green Street, Waterford, Co. Waterford",260000.0,N/A,,4,2,End of Terrace,2022-08-10,,,,52.258497,-7.11769,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/end-of-terrace-house-21-green-street-waterford-co-waterford/3955435
3945522,19377138,"130 Morrisson's Road, Co. Waterford",150000.0,40,40 m²,1,1,Terrace,2022-08-10,E1,,,52.256023,-7.121568,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/terraced-house-130-morrissons-road-co-waterford/3945522
3946808,19391756,"36 Keane's Road, Co. Waterford",185000.0,85,85 m²,3,1,Semi-D,2022-08-09,C2,102581121,,52.255251,-7.130304,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-36-keanes-road-co-waterford/3946808
3946706,19391598,"70 Johnstown, Co. Waterford",250000.0,N/A,,4,2,Terrace,2022-07-13,D1,,,52.2557,-7.110274,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/terraced-house-70-johnstown-co-waterford/3946706
3945196,19373504,"35 Thomas Street, Co. Waterford",195000.0,N/A,,3,1,Terrace,2022-08-10,E2,114700628,374.58 kWh/m2/yr,52.261264,-7.118542,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/terraced-house-35-thomas-street-co-waterford/3945196
3942803,19350534,"4 Saint Alphonsus Road, Co. Waterford",195000.0,N/A,,2,1,Terrace,2022-08-03,D2,101657948,286.0 kWh/m2/yr,52.252564,-7.104091,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/terraced-house-4-saint-alphonsus-road-co-waterford/3942803
3936937,19295414,"13 Monastery Street, Co. Waterford",140000.0,71,71 m²,2,1,Terrace,2022-06-24,D2,100147719,283.56 kWh/m2/yr,52.257114,-7.12088,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/terraced-house-13-monastery-street-co-waterford/3936937
3933299,19257030,"8 Ashley Avenue, Ashley Court, Co. Waterford",235000.0,82,82 m²,3,1,Semi-D,2022-08-10,C3,114889561,224.93 kWh/m2/yr,52.258167,-7.142924,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-8-ashley-avenue-ashley-court-co-waterford/3933299
3933235,19256998,"14-15 Barrack Street, Co. Waterford",300000.0,1400,1400 m²,3,3,End of Terrace,2022-08-08,D1,,,52.2575,-7.116053,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/end-of-terrace-house-14-15-barrack-street-co-waterford/3933235
3928876,19217608,"5 Sion Row, Ferrybank, Co. Waterford",75000.0,86,86 m²,2,2,Terrace,2022-08-10,SI_666,,,52.2652565,-7.1105419,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/terraced-house-5-sion-row-ferrybank-co-waterford/3928876
3918974,19126619,"2 Bath Street, Co. Waterford",185000.0,120,120 m²,5,2,Terrace,2022-08-10,E1,100538404,336.92 kWh/m2/yr,52.253837,-7.113677,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/terraced-house-2-bath-street-co-waterford/3918974
3912586,19070270,"34 Shortcourse, Co. Waterford",150000.0,72,72 m²,2,1,Townhouse,2022-08-09,G,114889421,475.22 kWh/m2/yr,52.257737,-7.116357,Buy,WATERFORD_INSTITUTE_OF_TECHNOLOGY_WATERFORD,http://www.daft.ie/for-sale/townhouse-34-shortcourse-co-waterford/3912586
