id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3987042,19692346,"Ballinacurra, Croagh, Adare, Co. Limerick",285000.0,128,128 m²,3,1,Bungalow,2022-08-10,D1,105006142,259.63 kWh/m2/yr,52.567902,-8.883444,Buy,ADARE_LIMERICK,http://www.daft.ie/for-sale/bungalow-ballinacurra-croagh-adare-co-limerick/3987042
4005274,112976205,"Old Kildimo, Kildimo, Co. Limerick",280000.0,107,107 m²,3,2,Detached,2022-08-03,D2,106708712,,52.61313,-8.808588,Buy,ADARE_LIMERICK,http://www.daft.ie/for-sale/detached-house-old-kildimo-kildimo-co-limerick/4005274
4005076,112973739,"Kiam House, Kilfinny, Adare, Co. Limerick",600000.0,260,260 m²,4,4,Detached,2022-08-09,B3,,,52.4971,-8.79594,Buy,ADARE_LIMERICK,http://www.daft.ie/for-sale/detached-house-kiam-house-kilfinny-adare-co-limerick/4005076
4005025,112972450,"Knockanes, Adare, Co. Limerick",495000.0,N/A,,4,2,Detached,2022-08-10,E2,114837529,351.12 kWh/m2/yr,52.562295,-8.76183,Buy,ADARE_LIMERICK,http://www.daft.ie/for-sale/detached-house-knockanes-adare-co-limerick/4005025
3997827,112913543,"Clogh East, Co. Limerick",200000.0,N/A,,4,1,Detached,2022-08-10,,,,52.545378042205,-8.8928677354431,Buy,ADARE_LIMERICK,http://www.daft.ie/for-sale/detached-house-clogh-east-co-limerick/3997827
3995448,112887758,"Clough, Croagh, Co. Limerick",200000.0,N/A,,4,2,Detached,2022-07-26,SI_666,,,52.545261,-8.893747,Buy,ADARE_LIMERICK,http://www.daft.ie/for-sale/detached-house-clough-croagh-co-limerick/3995448
3975859,19601595,"Castleview, Clonshire More, Croagh, Co. Limerick",380000.0,165,165 m²,6,5,Detached,2022-07-14,C3,,,52.548591,-8.840972,Buy,ADARE_LIMERICK,http://www.daft.ie/for-sale/detached-house-castleview-clonshire-more-croagh-co-limerick/3975859
3972798,19580573,"Beech Hall, Ballinamona, Adare, Co. Limerick",1200000.0,406,406 m²,6,6,Detached,2022-07-14,C1,104717855,,52.586639,-8.892309,Buy,ADARE_LIMERICK,http://www.daft.ie/for-sale/detached-house-beech-hall-ballinamona-adare-co-limerick/3972798
3960216,19474645,"Coolbeg, Kildimo, Co. Limerick",149000.0,N/A,,1,1,Detached,2022-07-15,F,,,52.624526,-8.811683,Buy,ADARE_LIMERICK,http://www.daft.ie/for-sale/detached-house-coolbeg-kildimo-co-limerick/3960216
3959658,19468144,"Clongownagh, Adare, Co. Limerick",330000.0,N/A,,4,3,Detached,2022-08-08,D2,,263.31 kWh/m2/yr,52.590546,-8.811477,Buy,ADARE_LIMERICK,http://www.daft.ie/for-sale/detached-house-clongownagh-adare-co-limerick/3959658
3947739,19400742,"Lurriga, Askeaton, Co. Limerick",615000.0,266,266 m²,5,4,Detached,2022-08-10,B3,,,52.566112,-8.892229,Buy,ADARE_LIMERICK,http://www.daft.ie/for-sale/detached-house-lurriga-askeaton-co-limerick/3947739
3918924,19125831,"Knockroe, Kildimo, Co. Limerick",280000.0,153,153 m²,4,2,Detached,2022-06-09,E2,,,52.618074,-8.810886,Buy,ADARE_LIMERICK,http://www.daft.ie/for-sale/detached-house-knockroe-kildimo-co-limerick/3918924
3909767,19045710,"Breskamore, Patrickswell, Co. Limerick",395000.0,210,210 m²,5,2,Detached,2022-08-04,C2,114866965,196.42 kWh/m2/yr,52.608735,-8.739028,Buy,ADARE_LIMERICK,http://www.daft.ie/for-sale/detached-house-breskamore-patrickswell-co-limerick/3909767
3899002,18941439,"Rosings Stud Farm, Kildimo, Co. Limerick",1200000.0,338,338 m²,5,5,Detached,2022-08-05,B1,,,52.615366,-8.842696,Buy,ADARE_LIMERICK,http://www.daft.ie/for-sale/detached-house-rosings-stud-farm-kildimo-co-limerick/3899002
