id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3997814,112912508,"The Bromley, Coolcotts Lane, Wexford Town, Co. Wexford",565000.0,251,251 m²,4,6,Detached,2022-08-02,C3,115362550,203.76 kWh/m2/yr,52.33894,-6.501145,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-the-bromley-coolcotts-lane-wexford-town-co-wexford/3997814
3997813,112912512,"Courtclough Lower, The Ballagh, Co. Wexford",150000.0,65,65 m²,2,1,Detached,2022-07-29,SI_666,,,52.475359,-6.382168,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-courtclough-lower-the-ballagh-co-wexford/3997813
3997303,112907834,"Rosetown, Rosslare Strand, Co. Wexford",725000.0,180,180 m²,4,3,Detached,2022-07-27,A2,000000000,,52.261263,-6.38652,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-rosetown-rosslare-strand-co-wexford/3997303
3997152,112906448,"Landscape, New Ross, Co. Wexford",195000.0,69,69 m²,3,1,Detached,2022-08-10,G,115354375,,52.361293,-6.958215,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-landscape-new-ross-co-wexford/3997152
3996700,112899504,"The Cardiffs, Strand Road, Whitehouse, Rosslare Strand, Co. Wexford",475000.0,129,129 m²,4,2,Detached,2022-07-27,F,114780646,446.41 kWh/m2/yr,52.278142,-6.390828,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-the-cardiffs-strand-road-whitehouse-rosslare-strand-co-wexford/3996700
3996640,112899478,"Ballincash Lower, Oulart, Enniscorthy, Co. Wexford",370000.0,N/A,,4,3,Detached,2022-08-10,C3,115368896,213.85 kWh/m2/yr,52.523616,-6.426774,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-ballincash-lower-oulart-enniscorthy-co-wexford/3996640
3996491,112898010,"Mount Howard, Gorey, Co. Wexford",328000.0,298,298 m²,3,4,Detached,2022-08-09,C1,,,52.579412,-6.369343,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-mount-howard-gorey-co-wexford/3996491
3996479,112898005,"Redmoor, Kilmore Quay, Co. Wexford",170000.0,N/A,,3,1,Detached,2022-08-04,E1,,,52.21349,-6.623161,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-redmoor-kilmore-quay-co-wexford/3996479
3750158,18236259,"Slade, Fethard-On-Sea, Co. Wexford",335000.0,186,186 m²,5,2,Detached,2022-08-10,C2,111429007,180.5 kWh/m2/yr,52.13536,-6.916486,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-slade-fethard-on-sea-co-wexford/3750158
3995639,112889870,"6 Grange Close, Grange Big, Rosslare Strand, Co. Wexford",350000.0,97,97 m²,3,2,Detached,2022-08-09,E1,115346892,303.81 kWh/m2/yr,52.274349,-6.397067,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-6-grange-close-grange-big-rosslare-strand-co-wexford/3995639
3995616,112888321,"Ballinvegga, New Ross, Co. Wexford",435000.0,176,176 m²,4,3,Detached,2022-08-10,A2,114526106,49.65 kWh/m2/yr,52.428539,-6.838049,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-ballinvegga-new-ross-co-wexford/3995616
3995410,112886038,"Kildavin Lodge, Kildavin Upper, Murrintown, Co. Wexford",595000.0,159,159 m²,4,3,Detached,2022-07-26,G,114816580,479.25 kWh/m2/yr,52.298938,-6.527248,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-kildavin-lodge-kildavin-upper-murrintown-co-wexford/3995410
3995275,112885206,"MACE, Crossfarnoge, Kilmore Quay, Co. Wexford",1200000.0,525,525 m²,5,3,Detached,2022-08-09,C1,800761538,460.06 kWh/m2/yr,52.175465,-6.591861,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-mace-crossfarnoge-kilmore-quay-co-wexford/3995275
3995142,112882782,"Kilmurray, Gorey, Co. Wexford",495000.0,200,200 m²,5,2,Detached,2022-07-26,C3,,,52.694206,-6.256718,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-kilmurray-gorey-co-wexford/3995142
3994288,112873006,"St. Mary's, Summerhill, Wexford Town, Co. Wexford",625000.0,470,470 m²,6,3,Detached,2022-08-09,SI_666,,,52.333578,-6.471677,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-st-marys-summerhill-wexford-town-co-wexford/3994288
3993985,112870154,"Ballyconnick, Cleariestown, Co. Wexford","AMV: €75,000",75,75 m²,2,1,Detached,2022-08-10,G,114283336,,52.273549,-6.616731,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-ballyconnick-cleariestown-co-wexford/3993985
3993697,112866444,"8 Seaview, Poulshone, Co. Wexford",269000.0,94,94 m²,3,2,Detached,2022-08-09,D1,107999641,259.85 kWh/m2/yr,52.618402,-6.231937,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-8-seaview-poulshone-co-wexford/3993697
3993554,112863990,"Alltwen, Coddstown, Killinick, Co. Wexford",379000.0,258,258 m²,4,4,Detached,2022-08-09,C3,112536206,224.2 kWh/m2/yr,52.220456,-6.445154,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-alltwen-coddstown-killinick-co-wexford/3993554
3818989,18808116,"13 Woodside, Courtown, Co. Wexford",220000.0,110,110 m²,3,3,Detached,2022-08-05,E1,,,52.645752,-6.238569,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-13-woodside-courtown-co-wexford/3818989
3993445,112862492,"Hilltown House, Hilltown, Carne, Co. Wexford",450000.0,196,196 m²,4,2,Detached,2022-07-25,F,108890609,421.15 kWh/m2/yr,52.18347,-6.379905,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-hilltown-house-hilltown-carne-co-wexford/3993445
3240324,14957706,"Kilhile, Arthurstown, Co. Wexford",650000.0,420,420 m²,4,5,Detached,2022-07-22,B2,111274973,,52.262571,-6.959149,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-kilhile-arthurstown-co-wexford/3240324
3992010,19748875,"54 Bridgemeadow, Milehouse Road, Enniscorthy, Co. Wexford",250000.0,102,102 m²,3,3,Detached,2022-08-08,C2,,,52.509995,-6.590684,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-54-bridgemeadow-milehouse-road-enniscorthy-co-wexford/3992010
3992034,19748884,"Suaimhneas, Bearlough, Rosslare Strand, Co. Wexford",395000.0,131,131 m²,2,2,Detached,2022-08-09,D2,110538501,287.6 kWh/m2/yr,52.286619,-6.396297,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-suaimhneas-bearlough-rosslare-strand-co-wexford/3992034
3991687,19743265,"Bannow Moor, Bannow, Co. Wexford",375000.0,153,153 m²,4,3,Detached,2022-08-10,C3,115371627,223.0 kWh/m2/yr,52.224473,-6.772071,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-bannow-moor-bannow-co-wexford/3991687
3991577,19741723,"Clones Upper, Castletown, Co. Wexford",450000.0,268,268 m²,4,3,Detached,2022-08-10,C1,107411324,158.29 kWh/m2/yr,52.714851,-6.170737,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-clones-upper-castletown-co-wexford/3991577
3991547,19741693,"Ballydicken Upper, Wexford Town, Co. Wexford",715000.0,250,250 m²,4,3,Detached,2022-08-10,B2,,,52.386602,-6.549517,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-ballydicken-upper-wexford-town-co-wexford/3991547
3991226,19736029,"Killisk, The Ballagh, Co. Wexford",325000.0,171,171 m²,4,3,Detached,2022-07-28,C2,114579410,185.3 kWh/m2/yr,52.453928,-6.44051,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-killisk-the-ballagh-co-wexford/3991226
3990666,19729943,"Four Seasons, 23 La Rochelle, Rosslare Harbour, Co. Wexford",269000.0,115,115 m²,4,3,Detached,2022-07-21,C2,115220493,197.85 kWh/m2/yr,52.248581,-6.341954,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-four-seasons-23-la-rochelle-rosslare-harbour-co-wexford/3990666
3990548,19729437,"Rosspile, Foulksmills, Co. Wexford",129000.0,41,41 m²,1,1,Detached,2022-07-21,G,114618341,830.7 kWh/m2/yr,52.303504,-6.7479,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-rosspile-foulksmills-co-wexford/3990548
3990399,19729336,"The Cottage, Ballyfad, Co. Wexford",275000.0,70,70 m²,3,1,Detached,2022-08-10,F,115344467,411.21 kWh/m2/yr,52.770891,-6.2789,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-the-cottage-ballyfad-co-wexford/3990399
3990270,19727556,"Ballybeg, Ferns, Co. Wexford","AMV: €449,000",416,416 m²,4,3,Detached,2022-08-10,C1,,,52.652825,-6.50582,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-ballybeg-ferns-co-wexford/3990270
3990293,19728991,"Beaufield, Bunclody, Co. Wexford",50000.0,N/A,0.5 ac,,,Detached,2022-08-10,,,,52.686445,-6.581377,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-beaufield-bunclody-co-wexford/3990293
3990234,19727536,"Dreamfields, 2 Ballinamona, The Ballagh, Co. Wexford",425000.0,185,185 m²,4,3,Detached,2022-08-09,C1,112354790,154.82 kWh/m2/yr,52.459119,-6.408065,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-dreamfields-2-ballinamona-the-ballagh-co-wexford/3990234
3988021,19701772,"1 Beechbrook Park, Kilmuckridge, Co. Wexford",220000.0,112,112 m²,3,3,Detached,2022-08-09,C1,,,52.50869,-6.289958,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-1-beechbrook-park-kilmuckridge-co-wexford/3988021
3989641,19720299,"Rockspring, Gorey, Co. Wexford",450000.0,195,195 m²,4,3,Detached,2022-08-10,C1,,,52.58415,-6.416788,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-rockspring-gorey-co-wexford/3989641
3989417,19718910,"Ardcavan, Wexford Town, Co. Wexford",495000.0,200,200 m²,4,3,Detached,2022-07-20,E2,114871726,343.04 kWh/m2/yr,52.355443,-6.450199,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-ardcavan-wexford-town-co-wexford/3989417
3989355,19716563,"Churchtown, Tacumshane, Co. Wexford",395000.0,209,209 m²,5,3,Detached,2022-08-09,C2,105313258,189.05 kWh/m2/yr,52.204024,-6.437909,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-churchtown-tacumshane-co-wexford/3989355
3509541,16056209,"Setting Sun, Ballyhack Lower, Arthurstown, Co. Wexford",399500.0,145,145 m²,3,3,Detached,2022-07-20,B3,113073191,,52.245819,-6.968009,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-setting-sun-ballyhack-lower-arthurstown-co-wexford/3509541
3987634,19698140,"Mulrankin, Bridgetown, Co. Wexford",445000.0,298,298 m²,5,3,Detached,2022-07-20,B2,114604960,120.32 kWh/m2/yr,52.245216,-6.550043,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-mulrankin-bridgetown-co-wexford/3987634
3821512,18830388,"25 Gorey Hill, Gorey, Co. Wexford",255000.0,98,98 m²,3,1,Detached,2022-08-09,D1,,,52.675779,-6.308887,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-25-gorey-hill-gorey-co-wexford/3821512
3986843,19690166,"7 Evergreen Way, Whitebrook, Wexford Town, Co. Wexford",230000.0,95,95 m²,3,3,Detached,2022-07-19,C2,109812065,188.48 kWh/m2/yr,52.320738,-6.478301,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-7-evergreen-way-whitebrook-wexford-town-co-wexford/3986843
3986436,19687843,"Rackardstown, Kilmore, Co. Wexford",342500.0,165,165 m²,5,3,Detached,2022-07-19,C3,114408370,204.39 kWh/m2/yr,52.191848,-6.560036,Buy,WEXFORD,http://www.daft.ie/for-sale/detached-house-rackardstown-kilmore-co-wexford/3986436
