id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3753762,18271250,"17 Whitehall Close, Terenure, Dublin 12",495000.0,79,79 m²,3,1,Semi-D,2022-08-10,E2,114759327,356.11 kWh/m2/yr,53.3064132,-6.3182247,Buy,TERENURE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-17-whitehall-close-terenure-dublin-12/3753762
3743290,18169471,"31 St. Enda's Road, Terenure, Dublin 6",425000.0,65,65 m²,2,1,Terrace,2022-05-13,G,114689243,466.68 kWh/m2/yr,53.313542,-6.279982,Buy,TERENURE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-31-st-endas-road-terenure-dublin-6/3743290
3813511,18759674,"92 Wainsfort Road, Terenure, Dublin 6W",650000.0,155,155 m²,4,3,Semi-D,2022-08-10,E2,114695778,372.37 kWh/m2/yr,53.305751,-6.306382,Buy,TERENURE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-92-wainsfort-road-terenure-dublin-6w/3813511
3807977,18721766,"129 Rockfield Avenue, Perrystown, Dublin 12",495000.0,N/A,,3,2,Terrace,2022-08-10,D1,114840713,251.81 kWh/m2/yr,53.311145,-6.310533,Buy,TERENURE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-129-rockfield-avenue-perrystown-dublin-12/3807977
3803965,18679709,"19 St Endas Road, Terenure, Dublin 6",549950.0,83,83 m²,2,1,Semi-D,2022-08-10,D1,,,53.313767,-6.28017,Buy,TERENURE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-19-st-endas-road-terenure-dublin-6/3803965
3799064,18638041,"135 Mount Tallant Avenue, Terenure, Terenure, Dublin 6",525000.0,108,108 m²,3,1,Terrace,2022-04-22,D2,114637671,286.16 kWh/m2/yr,53.315191,-6.29027,Buy,TERENURE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-135-mount-tallant-avenue-terenure-terenure-dublin-6/3799064
3788191,18549799,"344 Cashel Road, Kimmage, Dublin 12",330000.0,76,76 m²,2,2,Terrace,2022-08-10,D1,,,53.316024,-6.301799,Buy,TERENURE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-344-cashel-road-kimmage-dublin-12/3788191
3786794,18539051,"106 Templeville Road, Templeogue, Dublin 6W",645000.0,149,149 m²,4,1,Semi-D,2022-08-10,F,113778922,416.23 kWh/m2/yr,53.302679,-6.30994,Buy,TERENURE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-106-templeville-road-templeogue-dublin-6w/3786794
3782441,18494821,"44 Meadowbank, Bushy Park Road, Rathgar, Dublin 6",645000.0,91,91 m²,3,2,Terrace,2022-08-02,B3,100873801,137.62 kWh/m2/yr,53.306193,-6.276198,Buy,TERENURE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-44-meadowbank-bushy-park-road-rathgar-dublin-6/3782441
3770402,18381031,"35 Cashel Avenue, Crumlin, Dublin 12",320000.0,80,80 m²,2,1,Terrace,2022-08-10,C3,,,53.315873,-6.302341,Buy,TERENURE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-35-cashel-avenue-crumlin-dublin-12/3770402
3758201,18295330,"25 Ballytore Road Rathfarnham Dublin 14, Rathfarnham, Dublin 14",795000.0,188,188 m²,5,2,Semi-D,2022-08-10,E1,114725492,327.37 kWh/m2/yr,53.302731,-6.279183,Buy,TERENURE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-25-ballytore-road-rathfarnham-dublin-14-rathfarnham-dublin-14/3758201
3745067,18188103,"Dialynn, 84 Wainsfort Road, Terenure, Terenure, Dublin 6W",795000.0,160,160 m²,5,2,Semi-D,2022-05-18,D2,114708183,291.95 kWh/m2/yr,53.306519,-6.305969,Buy,TERENURE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-dialynn-84-wainsfort-road-terenure-terenure-dublin-6w/3745067
3739191,18135425,"15 Muckross Avenue, Perrystown, Dublin 12",450000.0,85,85 m²,3,1,Terrace,2022-08-10,G,114341191,491.02 kWh/m2/yr,53.310328,-6.318017,Buy,TERENURE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-15-muckross-avenue-perrystown-dublin-12/3739191
3734621,18087005,"22 Muckcross Avenue, Perrystown, Dublin 12",480000.0,108,108 m²,3,2,Terrace,2022-08-10,D2,,,53.310713,-6.317931,Buy,TERENURE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-22-muckcross-avenue-perrystown-dublin-12/3734621
3729080,18028709,"'Sunnybank', 87A Rathdown Park, Terenure, Dublin 6W",1395000.0,216,216 m²,6,4,Semi-D,2022-08-10,C3,114682263,206.63 kWh/m2/yr,53.305105,-6.289543,Buy,TERENURE_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-sunnybank-87a-rathdown-park-terenure-dublin-6w/3729080
3698559,17777345,"6 Aideen Place, Dublin 6W",759950.0,150,150 m²,3,2,Terrace,2022-08-05,A3,,,53.316051,-6.293123,Buy,TERENURE_DUBLIN,http://www.daft.ie/for-sale/terraced-house-6-aideen-place-dublin-6w/3698559
3660207,17418331,"7 Grosvenor Court, Templeogue, Dublin 6W",725000.0,129,129 m²,4,1,Detached,2022-08-10,D1,103605721,,53.306134,-6.317178,Buy,TERENURE_DUBLIN,http://www.daft.ie/for-sale/detached-house-7-grosvenor-court-templeogue-dublin-6w/3660207
