id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3785452,18526179,"Lackandarra, Colligan, Dungarvan, Co. Waterford",535000.0,237,237 m²,5,3,Detached,2022-08-06,B3,114592371,,52.174496,-7.669595,Buy,DUNGARVAN_AND_SURROUNDS_WATERFORD,http://www.daft.ie/for-sale/detached-house-lackandarra-colligan-dungarvan-co-waterford/3785452
3804902,18689724,"90 Silversprings, Dungarvan, Co. Waterford",340000.0,130,130 m²,5,2,Detached,2022-08-06,C3,106119373,205.5 kWh/m2/yr,52.089276,-7.638842,Buy,DUNGARVAN_AND_SURROUNDS_WATERFORD,http://www.daft.ie/for-sale/detached-house-90-silversprings-dungarvan-co-waterford/3804902
3803521,18674363,"Faha, Ring, Dungarvan, Co. Waterford",385000.0,186,186 m²,3,3,Detached,2022-08-10,C2,114812852,182.74 kWh/m2/yr,52.037827,-7.62457,Buy,DUNGARVAN_AND_SURROUNDS_WATERFORD,http://www.daft.ie/for-sale/detached-house-faha-ring-dungarvan-co-waterford/3803521
3802758,18668696,"34 Sallybrook, Abbeyside, Dungarvan, Co. Waterford",395000.0,158,158 m²,4,3,Semi-D,2022-08-06,C2,105326821,176.99 kWh/m2/yr,52.097997,-7.59938,Buy,DUNGARVAN_AND_SURROUNDS_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-34-sallybrook-abbeyside-dungarvan-co-waterford/3802758
3801855,18659566,"Inchera, Strandside South, Dungarvan, Co. Waterford",545000.0,187,187 m²,5,2,Semi-D,2022-08-10,,,,52.089188,-7.613326,Buy,DUNGARVAN_AND_SURROUNDS_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-inchera-strandside-south-dungarvan-co-waterford/3801855
3801144,18653620,"13 The Grove, Abbeyside, Dungarvan, Co. Waterford",280000.0,121,121 m²,3,1,Terrace,2022-08-06,G,114827249,501.99 kWh/m2/yr,52.093938,-7.610994,Buy,DUNGARVAN_AND_SURROUNDS_WATERFORD,http://www.daft.ie/for-sale/terraced-house-13-the-grove-abbeyside-dungarvan-co-waterford/3801144
3793999,18597823,"Glenariska, Ring, Co. Waterford",795000.0,382,382 m²,6,4,Detached,2022-08-10,B3,114778947,137.11 kWh/m2/yr,52.046108,-7.610259,Buy,DUNGARVAN_AND_SURROUNDS_WATERFORD,http://www.daft.ie/for-sale/detached-house-glenariska-ring-co-waterford/3793999
3783210,18506188,"80 Tournore Park, Abbeyside, Dungarvan, Co. Waterford",450000.0,N/A,,5,3,Semi-D,2022-07-27,C2,103991139,185.98 kWh/m2/yr,52.098764,-7.605456,Buy,DUNGARVAN_AND_SURROUNDS_WATERFORD,http://www.daft.ie/for-sale/semi-detached-house-80-tournore-park-abbeyside-dungarvan-co-waterford/3783210
3772620,18402613,"Glenwilliam, Ardmore, Co. Waterford",450000.0,175,175 m²,4,3,Detached,2022-08-10,C1,114429269,170.66 kWh/m2/yr,52.008302,-7.692608,Buy,DUNGARVAN_AND_SURROUNDS_WATERFORD,http://www.daft.ie/for-sale/detached-house-glenwilliam-ardmore-co-waterford/3772620
3769525,18372196,"2 King Street Mews, King Street Upper, Dungarvan, Co. Waterford",280000.0,95,95 m²,3,2,Terrace,2022-08-06,C1,111385316,164.8 kWh/m2/yr,52.092036,-7.614512,Buy,DUNGARVAN_AND_SURROUNDS_WATERFORD,http://www.daft.ie/for-sale/terraced-house-2-king-street-mews-king-street-upper-dungarvan-co-waterford/3769525
3754554,18274191,"The Horse Haven, Ballyconnery Upper, Kilgobinet, Dungarvan, Co. Waterford",345000.0,89,89 m²,3,1,Detached,2022-08-10,D1,107477218,253.59 kWh/m2/yr,52.127664,-7.651131,Buy,DUNGARVAN_AND_SURROUNDS_WATERFORD,http://www.daft.ie/for-sale/detached-house-the-horse-haven-ballyconnery-upper-kilgobinet-dungarvan-co-waterford/3754554
3753981,18273081,"Strandside South, Dungarvan, Co. Waterford",475000.0,102,102 m²,3,1,Detached,2022-08-10,D2,103976999,283.52 kWh/m2/yr,52.089639,-7.613455,Buy,DUNGARVAN_AND_SURROUNDS_WATERFORD,http://www.daft.ie/for-sale/detached-house-strandside-south-dungarvan-co-waterford/3753981
3745064,18187625,"Creche Building, Cruachan, Dungarvan, Co. Waterford",230000.0,127,127 m²,4,1,Detached,2022-08-10,,,,52.104616,-7.620203,Buy,DUNGARVAN_AND_SURROUNDS_WATERFORD,http://www.daft.ie/for-sale/detached-house-creche-building-cruachan-dungarvan-co-waterford/3745064
3676535,17593655,"Ballygambon Lower, Cappagh, Dungarvan, Co. Waterford",330000.0,121,121 m²,4,2,Detached,2022-08-06,D1,101050763,249.22 kWh/m2/yr,52.103241,-7.779842,Buy,DUNGARVAN_AND_SURROUNDS_WATERFORD,http://www.daft.ie/for-sale/detached-house-ballygambon-lower-cappagh-dungarvan-co-waterford/3676535
3592011,16682706,"12 Mary Street, Dungarvan, Co. Waterford",197500.0,158,158 m²,4,2,Terrace,2022-08-10,F,113905392,434.25 kWh/m2/yr,52.088711,-7.621309,Buy,DUNGARVAN_AND_SURROUNDS_WATERFORD,http://www.daft.ie/for-sale/terraced-house-12-mary-street-dungarvan-co-waterford/3592011
3565280,16394088,"2 Kilgrovan Estate, Clonea Beach, Dungarvan, Co. Waterford",595000.0,188,188 m²,4,3,Detached,2022-08-10,A2,113602676,39.86 kWh/m2/yr,52.09311,-7.5491,Buy,DUNGARVAN_AND_SURROUNDS_WATERFORD,http://www.daft.ie/for-sale/detached-house-2-kilgrovan-estate-clonea-beach-dungarvan-co-waterford/3565280
