id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3975680,19598963,"133 The Hermitage, Borris Road, Portlaoise, Co. Laois",210000.0,106,106 m²,3,1,End of Terrace,2022-08-10,C1,114587132,174.52 kWh/m2/yr,53.050794,-7.277579,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/end-of-terrace-house-133-the-hermitage-borris-road-portlaoise-co-laois/3975680
3949143,19411357,"19 Lake Side Gardens, Kilminchy, Portlaoise, Co. Laois",195000.0,N/A,,3,2,Semi-D,2022-08-10,C1,,,53.047331,-7.270904,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-19-lake-side-gardens-kilminchy-portlaoise-co-laois/3949143
3969533,19555233,"2 Lake Grove, Kilminchy, Portlaoise, Co. Laois",199000.0,98,98 m²,2,3,Semi-D,2022-08-10,C1,,,53.047837,-7.263694,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-2-lake-grove-kilminchy-portlaoise-co-laois/3969533
3968719,19547205,"1 Ardville, Dublin Road, Portlaoise, Co. Laois",250000.0,N/A,,3,1,Semi-D,2022-08-09,D2,115383150,,53.039211,-7.274909,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-1-ardville-dublin-road-portlaoise-co-laois/3968719
3968461,19544466,"Killmeara, Pallas Little, Portlaoise, Co. Laois",250000.0,N/A,,4,1,Detached,2022-08-09,F,,,53.044442,-7.368116,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-killmeara-pallas-little-portlaoise-co-laois/3968461
3966643,19528079,"25 Glenbarrow, Ballyfin Road, Portlaoise, Co. Laois",285000.0,N/A,,4,2,Detached,2022-08-09,D1,,,53.043106,-7.31534,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-25-glenbarrow-ballyfin-road-portlaoise-co-laois/3966643
3966145,19523497,"28 Bianconi Way, Ridge Road, Portlaoise, Co. Laois",199000.0,107,107 m²,3,2,Semi-D,2022-08-10,SI_666,,,53.044115,-7.300016,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-28-bianconi-way-ridge-road-portlaoise-co-laois/3966145
3965892,19522050,"29 Bianconi Way, Ridge Road, Portlaoise, Co. Laois",198000.0,N/A,,3,2,Semi-D,2022-08-10,C2,,,53.0405489,-7.3014673,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-29-bianconi-way-ridge-road-portlaoise-co-laois/3965892
3964769,19512994,"19 Cherrygarth, Portlaoise, Co. Laois",340000.0,148,148 m²,5,2,Detached,2022-08-09,D2,,,53.025762,-7.296986,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-19-cherrygarth-portlaoise-co-laois/3964769
3963217,19500252,"151 Ashewood Walk, Summerhill Lane, Portlaoise, Co. Laois",370000.0,136,136 m²,4,3,Semi-D,2022-08-09,A3,,,53.030204,-7.27077,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-151-ashewood-walk-summerhill-lane-portlaoise-co-laois/3963217
3957834,19450056,"15 Liogard, Portlaoise, Co. Laois",200000.0,104,104 m²,3,1,Semi-D,2022-08-10,C2,102226305,190.61 kWh/m2/yr,53.044047,-7.310284,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-15-liogard-portlaoise-co-laois/3957834
3956531,19438660,"DNG KELLY, Hipwell House, Portlaoise, Co. Laois",425000.0,N/A,,6,4,Detached,2022-08-04,B3,113602023,147.0 kWh/m2/yr,53.034091,-7.300279,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-dng-kelly-hipwell-house-portlaoise-co-laois/3956531
3779914,18474397,"305 Monks Bridge, Maryborough Village, Portlaoise, Co. Laois",230000.0,121,121 m²,3,3,Terrace,2022-08-10,C2,,,53.036588,-7.326241,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/terraced-house-305-monks-bridge-maryborough-village-portlaoise-co-laois/3779914
3947383,19397315,"37 St Brigids Place, Portlaoise, Co. Laois",165000.0,84,84 m²,4,1,Semi-D,2022-08-10,G,101887560,755.45 kWh/m2/yr,53.039424,-7.292807,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-37-st-brigids-place-portlaoise-co-laois/3947383
3936427,19290093,"9 Lake Gardens, Kilminchy, Portlaoise, Co. Laois",275000.0,184,184 m²,4,4,Semi-D,2022-08-10,B3,,,53.047095,-7.265573,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-9-lake-gardens-kilminchy-portlaoise-co-laois/3936427
3932798,19251759,"35 Rossvale, Mountmellick Road, Portlaoise, Co. Laois",285000.0,N/A,,4,2,Detached,2022-08-09,D1,,,53.04533,-7.312912,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-35-rossvale-mountmellick-road-portlaoise-co-laois/3932798
3932050,19246129,"49 Mell Street, Kilminchy, Portlaoise, Co. Laois",175000.0,96,96 m²,3,3,Terrace,2022-07-31,C3,111967527,212.9 kWh/m2/yr,53.0462843,-7.26258,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/terraced-house-49-mell-street-kilminchy-portlaoise-co-laois/3932050
3931629,19241969,"32 Rathevan View, Borris Road, Portlaoise, Co. Laois",270000.0,N/A,,4,3,Semi-D,2022-08-09,C3,,,53.04931,-7.2723,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-32-rathevan-view-borris-road-portlaoise-co-laois/3931629
3925167,19176821,"38 Lime Tree Avenue, Kilminchy, Portlaoise, Co. Laois",269500.0,N/A,,3,3,Detached,2022-08-04,C2,114873623,185.03 kWh/m2/yr,53.047325,-7.262033,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-38-lime-tree-avenue-kilminchy-portlaoise-co-laois/3925167
3919708,19133731,"2 Colliers Way, Portlaoise, Co. Laois",310000.0,140,140 m²,4,2,Detached,2022-08-10,D1,113782379,226.13 kWh/m2/yr,53.045857,-7.271576,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-2-colliers-way-portlaoise-co-laois/3919708
3917931,19115246,"20 Dun Masc, Dublin Road, Portlaoise, Co. Laois",395000.0,178,178 m²,4,3,Detached,2022-08-10,C2,101287837,192.18 kWh/m2/yr,53.041401,-7.264213,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-20-dun-masc-dublin-road-portlaoise-co-laois/3917931
3916803,19105675,"67 Lake Drive, Kilminchy, Portlaoise, Co. Laois",235000.0,N/A,,5,2,Semi-D,2022-08-09,C1,114674369,,53.049782,-7.263864,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-67-lake-drive-kilminchy-portlaoise-co-laois/3916803
3914498,19084186,"Ballydavis, Portlaoise, Co. Laois",Price on Application,N/A,,3,1,Detached,2022-07-08,F,,,53.064149,-7.234543,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-ballydavis-portlaoise-co-laois/3914498
3912881,19071025,"Rathleague, Portlaoise, Co. Laois",480000.0,226,226 m²,6,3,Detached,2022-06-14,C1,102234481,,53.011486,-7.267503,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-rathleague-portlaoise-co-laois/3912881
3908771,19034238,"Pallas Big, Portlaoise, Co. Laois",385000.0,N/A,,4,2,Detached,2022-08-09,C2,,,53.039496,-7.331483,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-pallas-big-portlaoise-co-laois/3908771
3907266,19023026,"14 Cosby Avenue, Fairgreen, Portlaoise, Co. Laois",210000.0,103,103 m²,3,3,Semi-D,2022-08-10,C1,102415502,160.06 kWh/m2/yr,53.049563,-7.324337,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-14-cosby-avenue-fairgreen-portlaoise-co-laois/3907266
3481610,15829098,"NEW HOMES KILMINCHY, Portlaoise, Co. Laois",295000.0,N/A,,3,3,Semi-D,2022-07-18,A2,,,53.045910491870245,-7.261174125064457,New Homes,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/new-home-for-sale/semi-detached-house-type-c-new-homes-kilminchy-new-homes-kilminchy-portlaoise-co-laois/3481610
3481609,15829099,"NEW HOMES KILMINCHY, Portlaoise, Co. Laois",295000.0,N/A,,3,3,Semi-D,2022-07-18,A2,,,53.045910491870245,-7.261174125064457,New Homes,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/new-home-for-sale/semi-detached-house-type-e2-new-homes-kilminchy-new-homes-kilminchy-portlaoise-co-laois/3481609
3900774,18963167,"Glenlahan, Stradbally Road, Portlaoise, Co. Laois",Price on Application,N/A,,4,3,Detached,2022-08-09,C2,,,53.031572,-7.284808,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-glenlahan-stradbally-road-portlaoise-co-laois/3900774
3890781,18867811,"Ches Nous, Kilminchy, Portlaoise, Co. Laois",350000.0,N/A,,6,4,Detached,2022-08-09,D1,,,53.046161,-7.252892,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-ches-nous-kilminchy-portlaoise-co-laois/3890781
3820125,18816313,"25 The Grange, Portlaoise, Co. Laois",290000.0,N/A,,4,1,Detached,2022-08-09,C3,,,53.043239,-7.286166,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-25-the-grange-portlaoise-co-laois/3820125
3800148,18645809,"8 Abbeyleix Road, Portlaoise, Co. Laois",160000.0,N/A,,2,1,Terrace,2022-08-09,D2,,,53.029203,-7.301301,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/terraced-house-8-abbeyleix-road-portlaoise-co-laois/3800148
3793199,18589880,"43 Triogue Manor, Portlaoise, Co. Laois",220000.0,87,87 m²,3,3,Semi-D,2022-08-10,D1,114807563,227.45 kWh/m2/yr,53.042463,-7.304462,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-43-triogue-manor-portlaoise-co-laois/3793199
3785791,18529518,"43 Clonboyne Close, Bellingham, Portlaoise, Co. Laois",325000.0,155,155 m²,4,3,Detached,2022-07-28,B3,109120303,,53.031969,-7.326606,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-43-clonboyne-close-bellingham-portlaoise-co-laois/3785791
3780350,18477768,"18 Castle Way, Kilminchy, Portlaoise, Co. Laois",375000.0,168,168 m²,5,4,Detached,2022-08-10,,,,53.045189,-7.26987,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-18-castle-way-kilminchy-portlaoise-co-laois/3780350
3776445,18438759,"171 Clonroosk Abbey, Portlaoise, Co. Laois",220000.0,105,105 m²,3,3,Semi-D,2022-08-04,C1,114854474,154.98 kWh/m2/yr,53.045701,-7.321633,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-171-clonroosk-abbey-portlaoise-co-laois/3776445
3774876,18427232,"32 Rathevan View, Borris Road, Portlaoise, Co. Laois",270000.0,N/A,,4,3,Semi-D,2022-08-10,C2,,,53.04931,-7.2723,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-32-rathevan-view-borris-road-portlaoise-co-laois/3774876
3756454,18284742,"30 Doctor Murphy Place, Portlaoise, Co. Laois",175000.0,N/A,,3,1,Terrace,2022-08-10,E2,,,53.03792,-7.292594,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/terraced-house-30-doctor-murphy-place-portlaoise-co-laois/3756454
3753472,18270011,"12 Rathevan Heights, Portlaoise, Co. Laois",375000.0,N/A,,4,3,Detached,2022-08-10,C3,114769110,224.61 kWh/m2/yr,53.051554,-7.273347,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-12-rathevan-heights-portlaoise-co-laois/3753472
3657486,17383615,"94 Rossvale, Mountmellick Road, Portlaoise, Co. Laois",299999.0,N/A,,4,3,Detached,2022-08-09,C1,,,53.047079,-7.314414,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-94-rossvale-mountmellick-road-portlaoise-co-laois/3657486
3568940,16431573,"4 Block A, Stradbrook Apartments, Portlaoise, Co. Laois",190000.0,88,88 m²,2,2,Terrace,2022-08-09,C2,,,53.035062,-7.28833,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/terraced-house-4-block-a-stradbrook-apartments-portlaoise-co-laois/3568940
3561765,16356251,"Laois County Lodge, Dublin Road, Portlaoise, Co. Laois",525000.0,265,265 m²,8,9,Detached,2022-08-10,C1,101220002,162.03 kWh/m2/yr,53.038521,-7.278505,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-laois-county-lodge-dublin-road-portlaoise-co-laois/3561765
2313104,12505374,"Shaen, Portlaoise, Co. Laois",Price on Application,929,929 m²,9,9,Detached,2022-08-09,,,,53.071599,-7.23461,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-shaen-portlaoise-co-laois/2313104
3975680,19598963,"133 The Hermitage, Borris Road, Portlaoise, Co. Laois",210000.0,106,106 m²,3,1,End of Terrace,2022-08-10,C1,114587132,174.52 kWh/m2/yr,53.050794,-7.277579,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/end-of-terrace-house-133-the-hermitage-borris-road-portlaoise-co-laois/3975680
3949143,19411357,"19 Lake Side Gardens, Kilminchy, Portlaoise, Co. Laois",195000.0,N/A,,3,2,Semi-D,2022-08-10,C1,,,53.047331,-7.270904,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-19-lake-side-gardens-kilminchy-portlaoise-co-laois/3949143
3969533,19555233,"2 Lake Grove, Kilminchy, Portlaoise, Co. Laois",199000.0,98,98 m²,2,3,Semi-D,2022-08-10,C1,,,53.047837,-7.263694,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-2-lake-grove-kilminchy-portlaoise-co-laois/3969533
3968719,19547205,"1 Ardville, Dublin Road, Portlaoise, Co. Laois",250000.0,N/A,,3,1,Semi-D,2022-08-09,D2,115383150,,53.039211,-7.274909,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-1-ardville-dublin-road-portlaoise-co-laois/3968719
3968461,19544466,"Killmeara, Pallas Little, Portlaoise, Co. Laois",250000.0,N/A,,4,1,Detached,2022-08-09,F,,,53.044442,-7.368116,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-killmeara-pallas-little-portlaoise-co-laois/3968461
3966643,19528079,"25 Glenbarrow, Ballyfin Road, Portlaoise, Co. Laois",285000.0,N/A,,4,2,Detached,2022-08-09,D1,,,53.043106,-7.31534,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/detached-house-25-glenbarrow-ballyfin-road-portlaoise-co-laois/3966643
3966145,19523497,"28 Bianconi Way, Ridge Road, Portlaoise, Co. Laois",199000.0,107,107 m²,3,2,Semi-D,2022-08-10,SI_666,,,53.044115,-7.300016,Buy,PORTLAOISE_AND_SURROUNDS_LAOIS,http://www.daft.ie/for-sale/semi-detached-house-28-bianconi-way-ridge-road-portlaoise-co-laois/3966145
