id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3900059,18954619,"2 X 1 Bed Apartments, 2 X 1 Bed Apartments, 6 Bellview Terrace, Austin Friar St, Mullingar, Co. Westmeath",224950.0,N/A,,,,Terrace,2022-08-10,,,,53.52576,-7.333965,Buy,MULLINGAR_AND_SURROUNDS_WESTMEATH,http://www.daft.ie/for-sale/terraced-house-2-x-1-bed-apartments-2-x-1-bed-apartments-6-bellview-terrace-austin-friar-st-mullingar-co-westmeath/3900059
3899204,18942010,"41 Raithin Eoighan, Mullingar, Co. Westmeath",249950.0,139,139 m²,3,2,Semi-D,2022-08-10,C1,114876808,,53.527936,-7.357948,Buy,MULLINGAR_AND_SURROUNDS_WESTMEATH,http://www.daft.ie/for-sale/semi-detached-house-41-raithin-eoighan-mullingar-co-westmeath/3899204
3795746,18609486,"34 Millmount, Mullingar, Co. Westmeath",369950.0,121,121 m²,4,3,Semi-D,2022-08-10,B2,101824399,,53.515031,-7.334172,Buy,MULLINGAR_AND_SURROUNDS_WESTMEATH,http://www.daft.ie/for-sale/semi-detached-house-34-millmount-mullingar-co-westmeath/3795746
3891081,18869903,"Harmsworth House, Loughagar Beg, Mullingar, Co. Westmeath",995000.0,698,698 m²,6,6,Detached,2022-08-10,B2,109258053,113.0 kWh/m2/yr,53.561201,-7.279719,Buy,MULLINGAR_AND_SURROUNDS_WESTMEATH,http://www.daft.ie/for-sale/detached-house-harmsworth-house-loughagar-beg-mullingar-co-westmeath/3891081
3891020,18869873,"Harmsworth House, Loughagar Beg, Mullingar, Co. Westmeath",995000.0,697,697 m²,6,6,Detached,2022-08-02,B2,109258053,,53.561201,-7.279719,Buy,MULLINGAR_AND_SURROUNDS_WESTMEATH,http://www.daft.ie/for-sale/detached-house-harmsworth-house-loughagar-beg-mullingar-co-westmeath/3891020
3813528,18759754,"106 Greenpark Meadows, Mullingar, Co. Westmeath",289950.0,N/A,,4,2,Semi-D,2022-06-30,C2,,,53.518519,-7.374522,Buy,MULLINGAR_AND_SURROUNDS_WESTMEATH,http://www.daft.ie/for-sale/semi-detached-house-106-greenpark-meadows-mullingar-co-westmeath/3813528
3806937,18711245,"18 The Moorings, Mullingar, Co. Westmeath",344950.0,143,143 m²,4,,Detached,2022-08-10,B3,100575745,,53.519567,-7.369471,Buy,MULLINGAR_AND_SURROUNDS_WESTMEATH,http://www.daft.ie/for-sale/detached-house-18-the-moorings-mullingar-co-westmeath/3806937
3797985,18628370,"50 Raithé­n Eoighan, Ashe Road, Mullingar, Co. Westmeath",189950.0,N/A,,3,2,Terrace,2022-06-30,C1,,,53.527643,-7.357749,Buy,MULLINGAR_AND_SURROUNDS_WESTMEATH,http://www.daft.ie/for-sale/terraced-house-50-raith-n-eoighan-ashe-road-mullingar-co-westmeath/3797985
3691246,17717206,"2 O'Connell Terrace, McCurtain Street, Mullingar, Co. Westmeath",120000.0,49,49 m²,2,1,Terrace,2022-07-22,G,114620172,728.81 kWh/m2/yr,53.526839,-7.335022,Buy,MULLINGAR_AND_SURROUNDS_WESTMEATH,http://www.daft.ie/for-sale/terraced-house-2-oconnell-terrace-mccurtain-street-mullingar-co-westmeath/3691246
3649946,17279589,"1 Gas Lane, Mullingar, Co. Westmeath",180000.0,N/A,,3,1,Semi-D,2022-07-22,G,,,53.527275,-7.337899,Buy,MULLINGAR_AND_SURROUNDS_WESTMEATH,http://www.daft.ie/for-sale/semi-detached-house-1-gas-lane-mullingar-co-westmeath/3649946
3578746,16547006,"10 Mary Street, Mullingar, Co. Westmeath",279000.0,N/A,,3,1,Terrace,2022-07-22,G,,,53.525731,-7.344793,Buy,MULLINGAR_AND_SURROUNDS_WESTMEATH,http://www.daft.ie/for-sale/terraced-house-10-mary-street-mullingar-co-westmeath/3578746
3534601,16162167,"Canal Lodge, Greatdown, Mullingar, Co. Westmeath",325000.0,110,110 m²,3,3,Detached,2022-08-09,E1,107403073,314.46 kWh/m2/yr,53.506138,-7.246171,Buy,MULLINGAR_AND_SURROUNDS_WESTMEATH,http://www.daft.ie/for-sale/detached-house-canal-lodge-greatdown-mullingar-co-westmeath/3534601
3501962,16018762,"Windy Gap, Hopestown, Mullingar, Co. Westmeath",260000.0,296,296 m²,4,2,Detached,2022-05-24,SI_666,,,53.511773,-7.401464,Buy,MULLINGAR_AND_SURROUNDS_WESTMEATH,http://www.daft.ie/for-sale/detached-house-windy-gap-hopestown-mullingar-co-westmeath/3501962
1404014,12266861,"1 Bishop's Gate Street, Mullingar, Co. Westmeath",185000.0,100,100 m²,2,2,Semi-D,2022-08-09,G,800716151,768.22 kWh/m2/yr,53.526598,-7.343355,Buy,MULLINGAR_AND_SURROUNDS_WESTMEATH,http://www.daft.ie/for-sale/semi-detached-house-1-bishops-gate-street-mullingar-co-westmeath/1404014
